"","Sample0872","Sample0832","Sample0868","Sample0903","Sample0835","Sample0904","Sample0875","Sample0874","Sample0836","Sample0865","Sample0910","Sample0908","Sample0906","Sample0831","Sample0907","Sample0867","Sample0873","Sample0912","Sample0840","Sample0833","Sample0901","Sample0902","Sample0876","Sample0829","Sample0869","Sample0909","Sample0905","Sample0866","Sample0871","Sample0830","Sample0870","Sample0839","Sample0834","Sample0911","Sample0837","Sample0838","Sample0389","Sample0386","Sample0429","Sample0391","Sample0435","Sample0433","Sample0436","Sample0349","Sample0384","Sample0427","Sample0382","Sample0351","Sample0428","Sample0355","Sample0392","Sample0426","Sample0437","Sample0434","Sample0432","Sample0354","Sample0387","Sample0344","Sample0388","Sample0350","Sample0353","Sample0352","Sample0430","Sample0431","Sample0383","Sample0348","Sample0345","Sample0346","Sample0393","Sample0390","Sample0347","Sample0385"
"OTU_17",605,710,703,0,467,34449,20543,0,204,0,4,47,302,0,1889,981,1431,0,2,18,1,0,1693,0,0,2,2,480,0,3,0,0,0,1,0,2,2,0,18,10,20,10,94,2,27,6,1,1,80,4,15,51,20,42,49,2,15,0,4,0,0,1,52,25,2,8,0,0,4,22,0,2
"OTU_23",0,49399,1058,721,272,2,216,0,0,3091,4497,181,1,3398,0,78,1,3,3,68,2468,0,106,17,2191,0,596,1,1,7,328,2,237,0,96,0,1,0,0,69,16,0,47,7,188,0,2,0,2,14,18,2,41,1,31,1,3,1,1,0,12,2,1,7,0,3,3,19,29,5,2,0
"OTU_36",0,0,0,0,10,118,54,0,0,172,0,1540,0,71,0,52,0,0,0,71,105,0,0,1,1,241,0,0,0,0,0,0,0,0,25,0,4,0,0,2,0,0,0,0,0,0,0,0,6,0,2,0,0,1,0,0,2,1,34,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_32",0,554,8068,0,36,164,500,36,5677,0,26,688,1,0,0,209,0,1,0,233,0,0,1463,0,0,0,0,0,1,0,0,0,0,1,0,1,0,197,22,0,15,8,64,1,6,24,17,2,20,0,0,5,26,2,20,0,80,0,2,0,2,1,7,1,7,6,0,2,2,8,0,0
"OTU_10",56,159,48,1,100,0,131,278,103,0,562,58,2,245,0,35,299,1,0,523,0,222,33,84,157,691,600,0,1,190,104,34,0,61,1,1,8,0,2,27,6,25,20,24,32,2,11,1,44,7,6,9,19,21,5,2,17,21,29,12,11,12,3,3,20,21,4,59,5,1,4,0
"OTU_20",0,1122,2667,0,8,2528,120,0,871,159,1,459,0,0,69,217,0,0,441,0,0,0,1994,104,196,0,313,0,0,0,0,1,0,0,0,0,0,1,20,15,71,10,7,16,9,4,63,1,3,5,38,36,53,2,41,4,148,0,9,0,3,2,0,2,0,13,10,13,0,10,0,7
"OTU_2",48,8749,3326,1378,3690,617,4731,2409,2919,1033,11752,3049,1236,8846,1698,3869,1061,98,0,2286,208,536,9711,92,2720,300,2185,334,430,1,3162,409,1054,5,3,1,35,281,671,1559,919,675,595,171,558,439,413,274,973,44,148,184,1230,742,1508,93,419,133,523,35,82,92,359,318,379,124,36,367,25,85,35,17
"OTU_85",0,137,0,0,26,0,0,145,0,0,561,9,0,75,0,5,0,0,0,0,413,0,0,4,874,0,0,0,0,0,0,0,29,0,3,0,0,3,0,6,5,7,3,2,53,0,43,1,9,7,21,1,45,0,0,6,15,0,18,42,0,2,0,0,0,16,4,53,14,7,6,1
"OTU_18",0,306,558,765,506,100,349,0,4075,77,1484,1194,0,2084,0,897,113,1,0,1694,1,2295,235,11,254,118,82,0,681,121,0,276,1,0,61,7,451,412,2115,803,1045,692,580,155,399,706,414,40,713,91,776,296,682,1107,314,40,1232,312,380,71,31,91,422,235,131,83,28,768,76,257,60,32
"OTU_2407",0,0,0,8,0,0,16,3,5,1,0,0,27,0,0,3,0,0,2,0,1,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,2,0,0,1,0,2,1,0,1,1,0,0,0,4,0,1,0,0,0,1,0,0,2,0,0,0,1
"OTU_133",0,0,0,0,0,0,0,0,0,0,0,0,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,5,0,0,8,10,0,2,3,1,0,7,2,27,2,7,11,0,0,0,0,3,12,17,0,0,1,5,8,0,0,0,42,8,13,3,2,1,0
"OTU_95",0,0,94,0,23,0,10,0,265,0,0,24,359,0,0,3,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,10,3,0,6,5,10,0,10,1,0,2,4,2,1,0,10,3,49,0,1,1,0,0,3,3,5,6,0,2,0,0
"OTU_65",0,326,0,0,2,0,29,0,0,0,0,123,96,0,475,74,0,0,1,0,175,0,552,5,271,0,0,0,0,2,19,0,0,0,0,0,0,20,5,28,42,0,9,0,7,0,5,0,5,2,2,0,4,1,1,0,0,1,9,0,1,0,0,0,0,7,0,6,0,42,0,0
"OTU_4096",0,15,355,28,135,0,60,45,749,0,1,73,205,23,0,199,59,0,0,25,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,6,1,24,2,0,0,13,3,0,16,0,1,0,9,58,0,0,1,5,3,1,3,1,15,7,1,3,0,2,0,0,4,0
"OTU_15",52,13073,254,0,3015,204,757,119,454,0,0,361,0,688,0,542,524,0,0,204,0,0,165,0,2,0,157,0,0,0,0,0,0,0,0,1,89,5,17,37,699,37,101,0,39,68,51,0,77,0,16,49,127,65,24,0,21,5,5,0,1,0,3,15,72,0,0,5,0,11,1,1
"OTU_45",0,255,25,107,32,0,5,0,0,486,343,156,0,76,0,148,0,0,0,1087,31,555,0,20,1,0,154,0,0,0,112,0,0,0,0,0,19,4,10,17,39,14,73,11,32,24,2,25,12,6,8,18,10,26,4,3,16,18,3,3,5,6,1,9,11,6,12,32,7,8,5,1
