"","Sample0751","Sample0747","Sample0743","Sample0748","Sample0746","Sample0782","Sample0750","Sample0777","Sample0744","Sample0778","Sample0787","Sample0785","Sample0783","Sample0780","Sample0745","Sample0749","Sample0786","Sample0779","Sample0784","Sample0742","Sample0741","Sample0776","Sample0781","Sample0740","Sample0823","Sample0822","Sample0815","Sample0824","Sample0264","Sample0265","Sample0262","Sample0171","Sample0212","Sample0253","Sample0263","Sample0260","Sample0261","Sample0175","Sample0178","Sample0205","Sample0208","Sample0206","Sample0257","Sample0258","Sample0172","Sample0209","Sample0179","Sample0210","Sample0207","Sample0168","Sample0173","Sample0177","Sample0169","Sample0216","Sample0167","Sample0213","Sample0174","Sample0176","Sample0211","Sample0215","Sample0259","Sample0256","Sample0214"
"OTU_2407",0,0,0,5,0,0,0,0,0,0,0,0,17,17,0,15,5,0,0,0,15,0,2,7,20,1,0,0,2,0,0,0,1,1,0,5,0,1,0,4,0,0,1,0,1,1,8,0,1,0,3,3,0,0,1,0,0,0,0,0,0,1,0
"OTU_133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,3,0,0,0,0,0,0,662,0,0,0,0,0,0,0
"OTU_95",0,18,0,0,0,0,0,0,12,0,0,0,0,0,0,12,9,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,180,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"OTU_4096",0,0,0,6628,0,0,0,0,0,0,0,0,0,0,6,19,95,0,0,0,0,0,8,0,16,0,6,0,0,0,0,0,0,0,0,0,0,5,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_15",0,0,0,0,9,13,0,0,0,0,0,0,0,0,0,706,62,0,0,0,33,0,0,0,28,0,15,0,14,10,80,1,40,0,5,28,129,2,0,0,0,0,23,10,1,0,0,0,0,5,6,0,1,0,0,0,1,1,0,188,0,0,0
"OTU_45",210,38,0,0,0,0,0,0,12,140,4,0,242,0,0,26,33,0,0,0,33,66,103,5,0,0,0,0,0,8,0,0,0,0,0,5,0,1,9,0,0,3,0,0,0,12,9,0,4,1,0,0,0,2,0,0,5,0,0,0,0,0,0
"OTU_48",0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,58,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,4,12,9,1,11,0,0,0,1,0,0,0,0,0,51,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_3259",0,1,1,55,0,10,18,0,0,0,0,0,165,266,0,429,116,0,1,0,291,0,98,172,457,45,4,0,53,11,4,0,4,13,0,203,70,33,19,108,0,44,29,0,9,25,112,0,24,2,31,88,0,1,15,0,8,0,0,0,0,20,0
"OTU_176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_59",0,0,0,55,99,0,55,78,0,0,0,0,0,36,279,0,1,0,0,532,0,0,0,645,0,57,16,0,19,23,34,89,128,0,23,22,58,67,46,290,149,322,67,0,35,123,15,0,61,12,102,50,13,41,42,0,23,7,0,0,0,0,0
"OTU_4607",0,0,0,0,108,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,3,0,0,13,44,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_6277",0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,3,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,27,0,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_89",0,0,0,13,114,0,0,0,3,0,0,0,0,0,0,51,0,0,0,0,1,0,0,0,35,0,0,0,0,10,1,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"OTU_223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,38,12,0,45,6,0,13,0,82,3,21,64,437,57,366,8,13,46,6,0,6,0,128,159,0,18,0,0,0,0,0,0,0,0,0
"OTU_4383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14,0,0,0,0,0,2,0,7,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_35",0,0,0,0,0,25,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1308,671,1818,1337,3565,1326,980,5114,13988,1546,363,3271,1756,2000,14844,722,1782,2381,288,153,5126,1404,957,66,1084,153,410,0,565,471,0,0,23,0,0
"OTU_54",0,0,0,16,0,33,0,0,0,0,0,117,0,0,20,26,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,38,0,0,0,0,66,0,28,0,0,0,0,0,1,13,0,12,5,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,25,0,0,0,1,3,4,0,13,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_120",145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_510",0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,44,0,0,0,0,0,3,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"OTU_75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11",981,0,86,117,153,1400,340,958,2151,558,113,51,995,1911,3509,162,517,10,676,1122,124,12,22,332,39,491,75,3,375,301,623,612,476,1035,653,782,564,1768,779,3344,888,2484,2388,286,231,1819,871,1,472,280,720,421,429,894,196,0,300,67,0,0,0,1,0
"OTU_377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1",3946,780,2720,882,373,2622,667,5222,3257,2077,3569,4130,1895,1154,2208,2551,2515,2822,1687,8080,2981,2813,634,284,0,4032,3031,2,2788,3957,3237,1272,2541,1590,3360,7576,4570,3139,2193,8937,1572,5962,2850,535,800,3464,3522,342,4904,1499,1450,1319,2166,3444,1204,0,1240,143,2,0,0,0,0
"OTU_189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_19",0,0,0,612,15,0,0,0,7,0,0,0,0,36,12,302,54,0,0,0,182,0,0,0,145,0,0,0,0,0,0,0,3,0,14,14,6,0,0,0,0,1,33,0,8,0,0,0,0,1,0,0,1,1,15,253,0,0,0,0,0,0,0
"OTU_239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,24,0,3,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
