,Sample0696,Sample0697,Sample0636,Sample0682,Sample0653,Sample0698,Sample0660,Sample0621,Sample0614,Sample0637,Sample0673,Sample0670,Sample0647,Sample0709,Sample0623,Sample0630,Sample0632,Sample0640,Sample0622,Sample0701,Sample0678,Sample0671,Sample0612,Sample0676,Sample0710,Sample0690,Sample0654,Sample0685,Sample0659,Sample0668,Sample0619,Sample0658,Sample0674,Sample0650,Sample0613,Sample0606,Sample0692,Sample0655,Sample0663,Sample0611,Sample0620,Sample0687,Sample0681,Sample0652,Sample0677,Sample0608,Sample0641,Sample0683,Sample0669,Sample0665,Sample0695,Sample0645,Sample0643,Sample0672,Sample0661,Sample0649,Sample0615,Sample0680,Sample0642,Sample0628,Sample0684,Sample0679,Sample0639,Sample0666,Sample0616,Sample0629,Sample0638,Sample0626,Sample0617,Sample0657,Sample0633,Sample0686,Sample0607,Sample0694,Sample0693,Sample0689,Sample0635,Sample0702,Sample0675,Sample0625,Sample0627,Sample0648,Sample0656,Sample0605,Sample0644,Sample0691,Sample0624,Sample0631,Sample0651,Sample0667,Sample0610,Sample0634,Sample0664,Sample0688,Sample0699,Sample0618,Sample0609,Sample0662,Sample0646,Sample0711,Sample0036,Sample0087,Sample0107,Sample0038,Sample0075,Sample0122,Sample0123,Sample0027,Sample0023,Sample0083,Sample0014,Sample0100,Sample0052,Sample0025,Sample0050,Sample0056,Sample0120,Sample0012,Sample0046,Sample0070,Sample0018,Sample0016,Sample0022,Sample0042,Sample0063,Sample0049,Sample0026,Sample0105,Sample0121,Sample0007,Sample0003,Sample0116,Sample0091,Sample0028,Sample0047,Sample0045,Sample0034,Sample0006,Sample0033,Sample0040,Sample0086,Sample0111,Sample0060,Sample0094,Sample0015,Sample0062,Sample0113,Sample0017,Sample0053,Sample0117,Sample0024,Sample0035,Sample0059,Sample0011,Sample0057,Sample0103,Sample0097,Sample0005,Sample0069,Sample0037,Sample0118,Sample0115,Sample0073,Sample0044,Sample0019,Sample0066,Sample0088,Sample0092,Sample0030,Sample0099,Sample0089,Sample0108,Sample0068,Sample0020,Sample0067,Sample0032,Sample0114,Sample0054,Sample0098,Sample0071,Sample0090,Sample0021,Sample0008,Sample0102,Sample0002,Sample0001,Sample0048,Sample0013,Sample0101,Sample0093,Sample0065,Sample0104,Sample0106,Sample0055,Sample0010,Sample0041,Sample0085,Sample0031,Sample0061,Sample0119,Sample0072,Sample0058,Sample0064,Sample0004,Sample0084,Sample0074,Sample0043,Sample0051
OTU_291,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_17,0,0,0,0,0,0,1,0,0,0,0,0,0,21,38,0,0,0,0,0,0,0,22,7,0,0,0,1,2,0,91,30,0,0,0,0,0,46,4,1,0,0,0,7,0,0,0,99,0,13,0,0,6,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,9,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,34,1,2,1,0,14,0,0,0,0,14,0,0,2,0,0,0,0,4,0,0,117,0,0,0,0,0,2,1,1,90,2,13,0,28,0,241,0,20,0,10,0,1,5,2,0,0,0,0,48,0,37,0,29,0,0,14,18,0,0,50,0,0,2,0,0,1,0,1,0,0,57,0,0,0,13,0,0,1,0,3,0,0,16,37,37,0,70,44,10,0,0,0,15,41,109,6,0,0,0,0,4,0,0,0,0,0,0
OTU_23,0,76,1,0,0,0,0,0,67,0,14,34,0,0,8,58,0,0,12,23,520,0,3,0,0,0,43,5,17,9,7,4,0,0,7,20,3,0,0,0,25,0,0,8,0,3,0,0,32,26,0,46,0,14,94,5,0,0,0,16,0,0,0,0,0,0,49,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,23,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,28,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_36,344,0,0,0,0,0,2,1240,17,0,42,0,110,0,10,78,0,0,0,0,0,0,0,0,174,0,0,16,11,0,0,29,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,246,37,0,0,0,28,0,11,0,0,0,0,8,0,0,0,5,3,0,17,0,26,0,0,0,35,0,0,0,0,0,0,0,0,0,2,0,4,19,0,0,71,0,39,0,26,0,0,0,0,15,0,17,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,60,0,0,0,0,0,0,0,0,0,5,0,56,0,0,0,0,0,0,0,0,1,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_32,0,0,1,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,21,0,0,0,0,0,5,2,7,0,0,0,0,0,1,0,0,0,0,0,6,18,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,6,0,0,0,9,18,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,81,38,9,0,0,0,1073,0,1,0,10,0,0,6,14,0,10,0,1,35,0,0,0,21,0,0,2,12,0,1,32,0,0,22,0,0,1,1,0,4,1,1,0,0,0,5,0,0,53,0,0,0,89,15,136,37,35,17,23,19,1,2,14,0,24,0,24,0,0,0,0,2,0,0,0,0,0,0
OTU_10,2,106,0,0,1294,226,0,128,755,0,4,356,102,1,53,0,0,0,140,0,0,739,27,10,3302,0,64,781,0,0,18,62,0,0,0,4,118,1146,39,0,0,13,0,0,0,0,13,0,114,145,30,397,0,0,550,1,1,72,65,1,0,87,1022,0,26,5,358,0,0,226,7,0,0,0,85,3,0,73,58,0,0,13,32,165,0,4,7,0,0,1,0,0,0,0,0,0,341,102,18,3,70,14,3,1,0,31,3,0,0,14,37,22,0,0,0,2,0,15,38,0,0,41,0,20,0,0,3,5,2,112,243,12,10,0,11,1,825,56,28,5,12,0,0,10,33,0,2,0,0,89,0,1,162,57,0,0,2,25,0,0,29,1,0,304,0,0,0,43,0,19,1,0,0,0,14,8,3,0,27,1,2,0,70,26,295,100,30,206,83,43,0,3,107,0,150,1,16,0,1,0,0,0,0,0,2,0,0,0
OTU_20,12,0,0,0,0,0,0,0,19,0,64,0,0,0,5,31,0,0,16,0,0,0,52,0,0,0,0,0,34,2,23,78,0,0,5,0,22,589,0,6,22,0,7,4,0,0,17,14,20,39,0,0,0,0,0,28,0,9,0,0,3,0,7,0,0,0,17,0,27,0,7,0,0,0,0,0,0,0,0,0,2,98,1,0,32,0,0,0,0,13,0,0,53,0,0,0,0,0,0,0,1,0,1,0,0,40,0,0,0,8,22,1,0,0,1,1,1,0,0,0,0,32,0,37,74,0,0,0,0,0,102,4,19,0,0,0,57,13,0,35,10,0,0,1,5,0,6,0,4,68,10,0,135,79,0,0,0,7,0,0,32,0,0,8,0,0,0,0,0,3,0,52,0,0,0,0,0,0,9,0,9,0,0,8,220,14,0,109,31,8,0,0,9,0,0,87,3,0,0,1,0,0,0,0,0,0,0,0
OTU_2,1748,576,35,31,201,3492,397,70,600,2,1538,1676,965,212,2271,1865,168,52,1484,883,51,2705,1377,267,4944,166,649,323,431,213,148,2115,283,1841,26,163,1299,3261,3406,34,775,1486,133,988,2,33,288,69,1057,1874,78,341,25,134,395,2778,630,115,1483,369,302,31,1594,46,158,80,1591,418,511,2554,1317,8,880,80,7,627,17,37,137,501,59,528,10,61,249,55,80,1134,94,309,38,123,0,88,10,127,1197,496,161,6,84,31,70,41,23,47,41,0,0,66,61,105,9,30,29,13,21,348,37,0,0,52,32,41,187,167,36,49,28,1,564,227,75,1,151,10,3103,206,295,118,94,66,57,195,92,31,50,22,29,356,5,60,236,151,0,120,192,91,12,1132,118,35,8,854,8,222,37,66,10,45,28,83,13,0,5,2,8,3,59,190,33,21,66,105,377,173,142,374,268,401,1,71,297,10,92,63,153,2,88,1,13,40,23,1,3,0,0,0
OTU_85,0,3,0,0,8,0,0,0,11,0,0,15,0,0,0,36,0,0,12,0,0,0,0,0,105,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,4,0,0,33,0,0,0,0,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,1,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
OTU_18,674,383,14,3,319,145,247,267,89,0,7975,739,309,81,615,314,15,338,1235,647,0,1468,1129,782,77,157,412,24,273,114,112,1368,210,83,89,344,4776,104,290,3,147,16,156,519,15,72,162,16,283,4954,21,219,12,193,11,1191,0,16,83,388,1636,0,183,8,599,517,377,96,1671,2614,1772,0,304,12,134,587,4,13,0,251,56,969,153,2,121,13,113,22,0,88,0,113,31,0,0,22,321,30,66,2,83,23,25,0,0,79,43,0,0,10,51,54,40,69,19,79,14,22,45,0,0,107,74,105,534,77,39,79,52,7,96,5,28,0,223,13,190,88,11,41,45,7,13,27,16,26,54,69,163,267,2,0,17,38,114,0,127,109,0,32,93,44,25,70,0,0,78,97,0,45,23,70,108,0,23,17,2,0,96,1,11,28,11,48,44,112,87,110,252,188,0,10,259,21,53,0,75,8,0,0,35,10,0,0,5,0,0,1
