"","Sample0547","Sample0588","Sample0509","Sample0579","Sample0543","Sample0553","Sample0516","Sample0546","Sample0550","Sample0582","Sample0586","Sample0545","Sample0513","Sample0552","Sample0548","Sample0578","Sample0549","Sample0517","Sample0587","Sample0581","Sample0544","Sample0510","Sample0506","Sample0585","Sample0583","Sample0584","Sample0580","Sample0542","Sample0512","Sample0551","Sample0590","Sample0507","Sample0508","Sample0511","Sample0514","Sample0515","Sample0284","Sample0267","Sample0283","Sample0319","Sample0285","Sample0281","Sample0317","Sample0328","Sample0321","Sample0282","Sample0279","Sample0286","Sample0323","Sample0289","Sample0325","Sample0287","Sample0326","Sample0322","Sample0324","Sample0318","Sample0320","Sample0290","Sample0288","Sample0327","Sample0472","Sample0475","Sample0471","Sample0470","Sample0467","Sample0466","Sample0477","Sample0474","Sample0478","Sample0473","Sample0469","Sample0468"
"OTU_85",411,5,0,13,131,148,73,0,1545,2169,0,1306,93,77,15,0,14,8,0,0,20,178,86,63,91,12,52,880,53,137,9,0,22,244,0,47,0,0,0,23,0,62,24,1035,0,1,0,0,11,41,0,16,0,448,101,0,0,782,93,0,21,0,0,1,0,5,4,1,0,1,0,23
"OTU_18",421,678,4290,682,2005,9024,119,1649,2328,1203,3053,2012,392,1845,297,3434,2592,3657,294,1928,718,763,3352,1874,882,1548,874,1462,787,666,1317,694,249,438,1768,345,4346,7054,6748,1151,2600,4228,980,1355,1352,8266,3087,2102,800,2589,1153,3466,435,638,2008,936,623,3972,1623,1766,1091,299,453,776,911,1271,965,463,433,1497,351,1182
"OTU_2407",61,16,49,31,11,10,59,34,44,37,28,27,14,18,9,23,64,29,12,24,5,5,26,11,13,9,21,12,10,20,6,27,58,13,10,0,0,38,3,23,17,21,25,37,49,0,10,22,66,3,83,0,12,50,11,20,155,3,2,57,76,20,55,45,32,36,40,14,29,41,56,108
"OTU_133",74,100,35,154,0,15,40,157,30,11,126,26,32,22,36,267,51,51,58,35,0,11,20,56,14,18,85,0,29,45,60,17,32,6,101,0,66,288,28,20,125,29,56,17,89,95,61,142,69,160,40,110,87,43,45,34,43,121,266,56,30,8,28,15,55,48,53,17,3,7,30,78
"OTU_95",101,10,218,81,16,5,12,410,0,102,395,62,19,30,9,85,378,281,16,48,35,0,103,592,0,25,49,0,49,0,92,127,26,0,81,0,1328,452,383,68,631,699,86,111,222,1298,221,846,164,755,889,1024,112,188,553,154,73,358,734,264,64,12,78,16,46,43,14,17,51,49,122,87
"OTU_65",70,18,54,0,14,35,112,142,0,17,0,436,141,0,244,96,82,325,0,19,0,0,0,342,11,0,212,0,0,3,356,0,734,17,116,49,22,0,10,33,62,107,887,1086,147,9,9,17,26,199,0,19,75,0,575,6,73,137,65,18,3,1,84,41,35,75,375,26,170,29,101,129
"OTU_4096",152,187,1331,321,646,1408,310,874,108,61,407,69,31,385,597,444,1599,3129,126,1221,86,14,926,86,120,274,152,173,504,490,1465,78,111,40,739,21,187,192,89,60,260,696,18,62,103,329,255,151,182,231,41,149,147,20,87,15,28,171,349,76,64,65,523,41,120,99,119,59,322,101,78,80
"OTU_15",4606,14960,3948,401,348,1975,6538,697,459,166,719,434,4653,372,7680,1114,2069,2035,619,2644,111,117,242,3831,68,260,1707,108,74,68,1229,339,4098,91,451,348,427,1802,127,466,63,261,157,415,492,757,151,185,671,146,230,172,444,21,623,310,400,122,151,482,691,276,1521,1119,656,242,244,120,260,500,362,494
"OTU_45",24,18,13,502,221,1703,5,121,2033,883,1119,114,212,225,3,2397,69,57,33,98,106,454,1559,801,384,505,0,724,207,59,327,113,19,165,515,40,181,1979,2150,0,47,226,0,103,28,1028,92,119,1234,342,63,239,41,9,417,86,27,348,106,230,83,0,7,0,0,0,0,2,0,0,0,0
"OTU_48",470,752,3122,286,25,148,2178,361,0,0,838,60,113,321,1250,441,1387,5190,465,1216,96,0,620,505,3,115,849,0,224,0,1700,70,502,0,785,168,349,285,278,185,338,477,854,577,304,374,346,329,138,254,157,519,95,68,172,94,170,138,299,83,741,472,857,1249,2014,1476,1941,1439,704,2062,1801,556
"OTU_3259",1191,288,849,685,143,164,1145,605,767,662,296,461,367,381,268,476,1136,581,266,413,117,85,422,197,327,124,322,149,255,456,150,460,892,279,174,0,60,836,35,339,356,476,525,928,1390,12,287,663,1333,120,2367,2,574,1287,394,585,3264,20,23,1374,1474,375,1404,1029,701,968,734,312,597,901,1449,2410
"OTU_176",26,84,322,22,9,117,16,88,0,0,0,0,19,10,222,0,280,238,2,39,0,0,414,0,0,0,31,12,0,4,52,144,161,0,32,0,0,0,0,0,22,0,0,11,0,0,0,13,0,0,0,0,0,10,0,0,0,0,0,0,12,28,10,6,25,8,42,36,3,9,0,7
"OTU_59",312,36,2,55,16,114,0,0,72,15,32,0,13,450,5,127,0,1,30,1,201,73,20,0,37,545,0,51,173,26,0,47,0,13,0,0,20,280,85,0,216,30,0,0,0,10,23,0,8,43,0,12,0,0,0,0,0,0,76,285,0,0,0,0,0,0,0,0,0,4,0,2
"OTU_4607",1078,845,1365,83,0,138,272,188,0,0,75,56,13,12,513,63,676,1765,30,247,5,1,9,16,2,12,551,0,5,3,446,13,219,1,128,178,70,24,2,264,43,10,81,76,16,29,22,20,26,1,224,39,83,3,68,95,91,6,0,143,2243,454,467,1476,943,549,1397,472,1044,1115,620,1399
"OTU_6277",10,0,0,5,0,9,3,0,2,2,0,1,3,19,0,0,0,0,4,0,12,4,0,3,0,15,0,0,8,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_104",12,3,23,353,1376,2027,35,326,1025,294,14,75,13,324,10,122,47,58,49,31,229,214,1,131,298,146,3,357,722,419,39,8,0,37,24,26,22,266,100,23,73,77,0,8,0,6,12,40,83,108,0,7,0,0,0,7,1,85,57,0,0,0,3,22,2,19,2,0,5,7,1,2
"OTU_89",62,103,316,317,39,358,346,204,89,0,458,150,133,128,98,131,720,674,17,113,165,74,278,153,7,104,273,10,123,15,276,9,31,24,143,141,477,238,260,115,260,813,142,259,137,673,360,308,692,356,56,507,10,88,478,177,51,431,458,43,256,128,125,127,121,115,240,93,241,180,363,364
"OTU_223",27,6,0,432,2,0,0,0,0,9,0,0,0,2,0,0,0,10,30,0,13,0,0,1,13,13,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,31,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4383",0,0,0,8,52,166,0,0,73,0,30,31,0,9,0,40,2,0,5,0,0,36,0,66,8,16,0,0,0,8,0,0,0,7,10,0,0,2,4,0,0,1,0,0,0,2,0,0,26,47,0,6,0,18,49,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_55",5,133,1260,3,29,38,194,0,1,485,78,723,265,4,19,53,653,2097,0,522,6,60,984,1144,15,6,1864,0,36,16,459,0,126,23,23,0,0,0,13,0,186,2946,0,428,1161,0,13,0,3,111,0,40,0,38,28,0,0,411,0,0,10,12,11,0,15,8,80,0,487,4,96,30
"OTU_389",0,0,0,18,0,0,22,47,0,0,12,0,0,0,5,0,0,27,7,0,5,0,0,0,1,0,5,0,0,0,13,0,16,0,21,0,0,0,0,0,0,0,0,0,0,29,0,0,0,11,27,0,26,0,0,41,0,0,0,0,30,5,25,4,6,13,0,6,3,7,1,7
"OTU_419",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_35",0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,38,0,156,0,0,0,0,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0
"OTU_54",1148,107,9,699,334,627,99,0,334,297,136,1882,99,297,1,57,0,100,663,0,229,92,96,3334,110,885,54,445,186,55,19,250,71,51,106,23,0,1049,4,0,0,10,24,42,92,70,37,90,94,23,18,0,24,0,103,0,0,764,5,0,3,1,4,3,0,0,0,2,0,3,13,0
"OTU_401",0,0,0,20,38,0,0,0,0,19,11,0,0,0,5,0,0,7,11,0,0,2,0,149,11,2,0,0,0,29,3,0,21,6,0,0,0,36,0,0,56,44,0,17,0,49,0,42,0,16,19,21,0,24,43,0,0,24,66,0,19,0,0,3,14,17,5,3,0,0,3,26
"OTU_164",72,101,38,3,91,33,79,162,31,108,265,18,25,4,64,183,41,110,24,50,10,5,67,71,14,1,58,4,46,19,305,16,89,26,57,0,57,60,156,25,19,214,76,62,33,131,52,87,7,103,128,64,61,32,28,41,57,91,261,214,154,37,150,94,183,175,70,50,151,68,112,337
"OTU_120",0,13,32,40,4236,299,46,543,576,365,88,729,0,39,0,1,40,13,17,62,0,86,246,745,457,24,2,246,161,294,25,88,19,330,35,0,133,146,4,0,6,85,66,120,0,14,0,0,60,53,236,0,0,30,166,85,41,0,76,26,40,2,27,1,32,18,6,5,3,0,10,5
"OTU_673",242,666,3749,340,5,152,780,389,0,0,265,208,177,2,1114,148,1182,1408,490,1301,13,0,220,127,0,1,457,0,2,0,900,105,2109,0,134,180,31,32,82,183,11,32,110,112,410,24,12,1,156,44,98,23,257,298,242,304,100,23,49,267,1960,500,2155,686,1654,1441,929,1045,1111,1224,796,2513
"OTU_510",0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_130",21,157,39,105,48,51,247,213,20,37,339,110,90,1,103,128,56,170,78,67,6,7,331,888,12,30,209,23,27,24,508,0,272,7,181,40,18,156,70,0,19,100,26,35,64,72,42,37,12,170,41,21,24,27,47,27,29,84,81,21,387,110,210,71,209,112,56,31,54,18,140,121
