"","Sample0528","Sample0522","Sample0554","Sample0556","Sample0527","Sample0565","Sample0525","Sample0523","Sample0524","Sample0560","Sample0564","Sample0557","Sample0521","Sample0591","Sample0559","Sample0558","Sample0598","Sample0563","Sample0520","Sample0561","Sample0526","Sample0562","Sample0599","Sample0529","Sample0519","Sample0518","Sample0555","Sample0600","Sample0337","Sample0303","Sample0293","Sample0338","Sample0339","Sample0331","Sample0302","Sample0336","Sample0330","Sample0335","Sample0295","Sample0329","Sample0332","Sample0300","Sample0301","Sample0340","Sample0297","Sample0296","Sample0299","Sample0292","Sample0334","Sample0333","Sample0298","Sample0291","Sample0487","Sample0488","Sample0492","Sample0484","Sample0493","Sample0482","Sample0485","Sample0486","Sample0490","Sample0481","Sample0491","Sample0489"
"OTU_23",25,182,41,20,19,47,145,0,2,0,11,197,38,3,21,22,0,53,0,150,39,0,0,0,8,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0
"OTU_36",107,116,308,80,826,0,0,34,2,25,0,0,861,8,2712,2111,0,26,562,1230,4758,233,0,505,2849,541,17,0,0,90,25,0,0,0,61,0,0,0,62,0,0,165,214,0,239,15,76,106,0,0,17,68,0,0,4,0,0,0,0,0,0,0,0,0
"OTU_32",0,148,1048,2651,8,6296,355,0,429,2,158,586,441,1231,0,0,5656,0,2,88,0,25,0,72,0,0,1,14,509,105,0,518,1379,759,0,400,1610,650,123,559,1351,0,0,362,0,25,0,0,176,70,1,0,783,436,338,978,61,1679,311,396,1466,5109,132,299
"OTU_10",1356,1317,2966,563,5269,925,932,1702,1742,2744,665,430,1714,1860,3956,5202,511,1231,4758,1861,8592,1513,0,617,3369,3052,256,5,1407,5144,320,1544,1308,1608,1533,383,967,1902,1020,2356,1263,3131,1275,0,2142,1971,988,1063,5,651,486,1367,308,465,77,388,134,205,521,827,20,195,339,75
"OTU_20",1,626,640,24,14,2187,57,52,2810,13,665,169,114,15,1,0,67,17,0,177,0,235,0,827,11,0,8,0,11,0,0,0,0,271,1281,1,37,0,0,113,10,0,0,0,126,0,0,0,46,0,0,61,198,1639,13,76,0,0,4,12,6,0,210,20
"OTU_2",4457,2943,2906,3077,3482,5143,5295,2841,7398,3041,3413,4046,2987,8180,3670,1354,6043,3717,3388,1558,3533,2829,0,1637,5589,1369,953,14,4575,4797,1752,4132,5480,4490,3026,3473,5372,2919,4322,3488,3510,4157,6061,4493,2426,1830,1919,2108,3497,2330,2992,1262,758,933,765,980,891,404,782,2092,351,517,612,189
"OTU_85",62,77,125,0,74,6,5,24,0,58,29,7,78,52,150,694,12,28,247,49,519,5,0,28,364,230,90,0,7,261,0,0,26,51,109,0,158,0,49,24,27,443,0,0,259,97,34,26,0,0,22,91,0,4,3,0,0,2,1,184,0,0,0,0
"OTU_18",412,1475,2000,1143,940,1081,610,347,436,1312,543,1377,3854,744,5836,1164,289,354,1291,5272,3324,3181,0,1074,988,683,209,12,167,119,24,251,74,94,48,105,143,100,113,187,65,624,44,162,142,406,0,521,39,0,0,211,8,61,22,40,20,21,23,43,4,16,25,15
"OTU_2407",13,2,71,6,22,25,36,22,57,20,31,19,33,33,13,0,24,6,16,24,4,14,0,39,53,3,14,0,44,297,8,59,61,122,34,65,42,187,113,125,57,71,130,5,302,58,212,16,114,68,49,35,21,8,10,26,29,2,6,34,9,24,7,4
"OTU_133",54,32,34,14,28,43,4,12,9,46,6,327,83,422,15,11,39,0,37,32,45,76,0,0,25,0,8,1,0,35,0,120,513,581,0,59,525,32,50,165,178,372,0,0,194,0,0,40,61,0,103,0,0,12,1,5,0,13,0,0,27,0,1,0
"OTU_95",54,136,65,4,0,37,2,48,2,49,69,151,97,176,0,0,77,0,34,27,29,171,0,58,0,0,0,0,7,54,20,0,34,3,16,0,0,0,16,0,0,0,13,39,0,0,0,0,0,7,0,136,0,60,0,0,0,85,16,1,3,19,17,0
