,Sample0918,Sample0921,Sample0872,Sample0916,Sample0849,Sample0832,Sample0868,Sample0903,Sample0934,Sample0835,Sample0891,Sample0864,Sample0926,Sample0904,Sample0875,Sample0915,Sample0923,Sample0874,Sample0836,Sample0865,Sample0843,Sample0910,Sample0900,Sample0908,Sample0893,Sample0897,Sample0906,Sample0831,Sample0860,Sample0857,Sample0884,Sample0895,Sample0862,Sample0907,Sample0919,Sample0882,Sample0852,Sample0892,Sample0889,Sample0867,Sample0920,Sample0883,Sample0878,Sample0851,Sample0894,Sample0844,Sample0896,Sample0873,Sample0879,Sample0888,Sample0912,Sample0840,Sample0887,Sample0833,Sample0841,Sample0901,Sample0902,Sample0885,Sample0854,Sample0877,Sample0899,Sample0876,Sample0917,Sample0881,Sample0829,Sample0848,Sample0869,Sample0909,Sample0905,Sample0866,Sample0898,Sample0850,Sample0859,Sample0913,Sample0925,Sample0933,Sample0871,Sample0861,Sample0858,Sample0830,Sample0886,Sample0863,Sample0890,Sample0880,Sample0870,Sample0839,Sample0847,Sample0853,Sample0834,Sample0846,Sample0856,Sample0914,Sample0855,Sample0922,Sample0845,Sample0842,Sample0911,Sample0837,Sample0838,Sample0935,Sample0416,Sample0405,Sample0389,Sample0386,Sample0394,Sample0446,Sample0429,Sample0444,Sample0391,Sample0409,Sample0435,Sample0433,Sample0456,Sample0401,Sample0438,Sample0399,Sample0461,Sample0357,Sample0414,Sample0400,Sample0436,Sample0411,Sample0360,Sample0349,Sample0398,Sample0439,Sample0384,Sample0402,Sample0427,Sample0382,Sample0449,Sample0351,Sample0462,Sample0440,Sample0428,Sample0364,Sample0441,Sample0355,Sample0392,Sample0415,Sample0369,Sample0413,Sample0426,Sample0406,Sample0437,Sample0434,Sample0463,Sample0445,Sample0464,Sample0432,Sample0354,Sample0387,Sample0397,Sample0395,Sample0374,Sample0344,Sample0453,Sample0359,Sample0388,Sample0358,Sample0408,Sample0376,Sample0447,Sample0356,Sample0350,Sample0450,Sample0373,Sample0442,Sample0362,Sample0379,Sample0353,Sample0352,Sample0443,Sample0430,Sample0460,Sample0431,Sample0407,Sample0383,Sample0459,Sample0361,Sample0458,Sample0377,Sample0412,Sample0380,Sample0396,Sample0363,Sample0404,Sample0465,Sample0348,Sample0345,Sample0346,Sample0372,Sample0393,Sample0455,Sample0365,Sample0390,Sample0410,Sample0367,Sample0368,Sample0378,Sample0366,Sample0347,Sample0375,Sample0385,Sample0370,Sample0417,Sample0403
OTU_17,0,1235,605,1251,21102,710,703,0,0,467,1087,1,63,34449,20543,4638,2659,0,204,0,289,4,145,47,2,0,302,0,3422,0,64,0,0,1889,0,0,127,279,341,981,9702,151,2,2869,91,86,0,1431,3226,0,0,2,1,18,149,1,0,0,0,0,1712,1693,0,159,0,0,0,2,2,480,1,0,2350,0,0,0,0,4,0,3,0,0,2422,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,2,0,1,5,2,0,21,48,18,19,10,0,20,10,48,10,10,2,16,0,1,0,94,39,0,2,0,33,27,5,6,1,23,1,6,355,80,5,16,4,15,3,1,0,51,0,20,42,59,17,8,49,2,15,0,9,0,0,34,0,4,2,0,3,14,16,0,69,1,94,0,0,0,1,8,52,10,25,0,2,6,0,8,0,0,0,0,0,5,24,8,0,0,0,4,68,0,22,0,0,0,0,0,0,0,2,0,0,8
OTU_23,260,26514,0,1466,625,49399,1058,721,0,272,2969,220,35,2,216,1059,104,0,0,3091,76,4497,272,181,36171,1,1,3398,174,0,1,1,79,0,0,0,84,3028,0,78,0,511,1027,141,1925,12,2998,1,140,248,3,3,0,68,0,2468,0,246,1,257,25,106,591,1,17,0,2191,0,596,1,11611,0,16,0,258,1,1,870,0,7,289,3,2,0,328,2,221,157,237,815,0,324,0,0,84,1,0,96,0,1,0,0,1,0,1,0,0,0,69,0,16,0,0,8,3,0,0,0,0,0,47,4,0,7,8,0,188,9,0,2,0,0,0,9,2,0,0,14,18,12,0,0,2,0,41,1,3,1,0,31,1,3,0,0,0,1,0,0,1,0,0,0,5,0,0,4,0,0,0,0,12,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,4,0,3,3,19,0,29,2,4,5,0,10,14,0,0,2,1,0,0,0,0
OTU_36,0,0,0,8,3819,0,0,0,0,10,104,296,0,118,54,26,139,0,0,172,48,0,2249,1540,2015,0,0,71,0,433,0,105,0,0,0,0,50,86,0,52,1519,0,418,1,2615,1,0,0,0,360,0,0,0,71,0,105,0,0,0,0,0,0,1531,0,1,0,1,241,0,0,0,0,44,23,0,0,0,244,44,0,1,0,0,0,0,0,0,92,0,41,27,0,0,0,6,0,0,25,0,0,0,11,4,0,15,0,0,0,2,0,0,0,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,127,0,6,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,1,0,0,34,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1
OTU_32,1,904,0,152,0,554,8068,0,0,36,56,329,238,164,500,7,455,36,5677,0,49,26,730,688,73,987,1,0,94,0,7306,0,30,0,0,0,383,289,1,209,2086,405,1,4539,0,97,0,0,1,0,1,0,0,233,155,0,0,0,1,0,157,1463,0,0,0,0,0,0,0,0,0,0,138,0,0,153,1,0,0,0,0,0,1,0,0,0,69,0,0,0,0,0,0,0,0,0,1,0,1,3,9,6,0,197,2,15,22,72,0,241,15,8,20,6,17,0,18,2,0,3,64,17,0,1,1,7,6,129,24,17,23,2,16,96,20,1,8,0,0,19,184,4,5,2,26,2,1,139,105,20,0,80,5,1,0,0,5,5,2,10,5,0,5,0,0,37,3,2,2,0,2,1,15,7,2,1,5,7,6,0,72,0,2,0,3,0,0,29,6,0,2,8,2,11,1,8,0,0,0,3,0,0,1,0,0,0,0
OTU_10,252,191,56,57,1,159,48,1,0,100,1156,336,284,0,131,77,58,278,103,0,321,562,202,58,1485,0,2,245,88,736,24,953,43,0,169,395,122,224,1424,35,185,138,390,72,944,277,0,299,428,0,1,0,0,523,17,0,222,339,80,680,1845,33,51,0,84,133,157,691,600,0,0,161,871,611,491,62,1,183,176,190,46,0,0,0,104,34,118,0,0,84,55,1,2,0,78,198,61,1,1,0,17,62,8,0,17,25,2,10,27,229,6,25,16,88,7,1,22,0,12,0,20,39,2,24,28,18,32,3,2,11,2,1,50,3,44,13,12,7,6,89,2,11,9,2,19,21,23,48,12,5,2,17,8,11,13,21,10,59,29,16,6,56,14,1,12,8,36,7,1,9,11,12,2,3,9,3,25,20,6,0,5,0,8,20,0,5,2,11,21,4,59,3,5,25,0,1,1,1,64,11,2,4,0,0,0,0,0
OTU_20,0,6384,0,648,8678,1122,2667,0,0,8,117,0,545,2528,120,2154,262,0,871,159,196,1,719,459,71,273,0,0,1,8848,1662,0,0,69,0,12,119,57,1,217,11577,533,1,217,1,107,414,0,0,337,0,441,0,0,1041,0,0,1,0,230,541,1994,456,1377,104,102,196,0,313,0,0,0,2370,3712,1,215,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,2,0,0,0,0,1,0,208,0,1,49,1,20,366,15,0,71,10,21,294,40,0,9,5,0,6,7,2,0,16,1,7,9,228,4,63,4,1,1,69,3,1,3,5,38,0,0,0,36,6,53,2,4,50,3,41,4,148,2,17,7,0,12,0,9,13,1,0,22,3,0,16,0,13,0,167,3,2,6,0,19,2,0,0,1,0,0,0,0,0,0,0,12,11,13,10,13,8,0,13,7,10,0,0,3,0,1,0,1,7,0,0,0
OTU_2,770,3740,48,11559,4129,8749,3326,1378,0,3690,25222,421,6025,617,4731,12813,1691,2409,2919,1033,2769,11752,8137,3049,3890,275,1236,8846,3595,4448,8845,4530,110,1698,480,7,2194,10016,214,3869,10805,5765,1721,2344,1745,7440,157,1061,1658,53,98,0,705,2286,641,208,536,162,1069,1901,5703,9711,510,0,92,113,2720,300,2185,334,1805,367,4731,1326,4543,2678,430,647,306,1,1173,2591,509,1503,3162,409,210,401,1054,347,104,195,534,351,45,144,5,3,1,17,481,4381,35,281,2166,53,671,480,1559,2270,919,675,73,6028,362,74,43,115,360,69,595,436,211,171,46,116,558,1696,439,413,261,274,582,99,973,184,187,44,148,940,197,378,184,242,1230,742,96,968,348,1508,93,419,554,559,105,133,34,288,523,238,220,147,499,105,35,332,286,387,331,126,82,92,118,359,496,318,528,379,270,23,656,17,124,132,96,253,383,84,124,36,367,200,25,142,61,85,185,195,195,260,103,35,34,17,47,4,13
OTU_85,0,57,0,1,0,137,0,0,0,26,0,0,190,0,0,0,0,145,0,0,3,561,101,9,5366,0,0,75,28,0,1,0,0,0,2,232,5,0,1,5,162,0,110,2,0,0,53,0,0,0,0,0,392,0,0,413,0,54,0,593,6,0,223,0,4,0,874,0,0,0,0,0,0,0,147,0,0,536,0,0,3,0,0,0,0,0,33,0,29,127,0,0,0,0,21,0,0,3,0,1,1,22,0,3,11,0,0,0,6,2,5,7,0,21,0,4,0,3,1,0,3,20,1,2,0,0,53,0,0,43,2,1,0,0,9,0,0,7,21,3,0,4,1,1,45,0,0,0,0,0,6,15,0,0,7,0,0,0,18,1,1,2,1,2,42,7,0,0,0,3,0,2,0,0,0,0,1,0,3,0,3,0,1,0,2,0,2,4,16,4,53,14,14,0,22,7,3,4,0,0,0,6,0,1,0,0,0
OTU_18,522,6377,0,2612,1962,306,558,765,0,506,5957,72,163,100,349,768,977,0,4075,77,675,1484,6546,1194,1934,394,0,2084,220,711,1208,832,224,0,0,27,3183,2543,193,897,2524,2700,834,887,326,2467,242,113,158,414,1,0,203,1694,26,1,2295,319,76,80,12369,235,122,339,11,153,254,118,82,0,0,0,782,63,1626,167,681,139,238,121,265,45,12,648,0,276,143,88,1,0,177,1,13,0,35,22,0,61,7,9,14,838,451,412,1302,14,2115,1152,803,115,1045,692,12,1608,349,306,29,75,0,36,580,98,265,155,29,359,399,154,706,414,134,40,106,353,713,361,172,91,776,37,18,7,296,35,682,1107,22,838,33,314,40,1232,270,360,18,312,18,336,380,354,3,25,154,58,71,351,3,298,109,0,31,91,187,422,37,235,158,131,26,32,57,1,0,7,152,43,61,26,83,28,768,17,76,31,9,257,1,174,5,17,39,60,2,32,2,0,7
OTU_2407,9,0,0,2,15,0,0,8,0,0,19,0,5,0,16,22,0,3,5,1,0,0,5,0,0,0,27,0,3,4,2,0,0,0,28,0,1,2,0,3,0,9,0,4,11,5,0,0,18,0,0,2,7,0,3,1,0,0,1,2,14,1,1,2,0,0,0,0,5,1,2,10,3,11,0,0,0,3,1,0,1,2,0,0,0,0,0,1,0,4,0,0,22,0,1,0,0,0,0,0,1,3,0,1,3,1,1,1,0,4,3,1,4,12,1,0,1,0,2,1,1,7,0,0,0,2,0,0,2,0,2,0,1,3,1,0,3,0,2,2,0,0,1,0,0,1,3,3,0,1,0,0,0,3,2,0,3,0,4,0,1,1,2,0,0,1,2,3,0,0,1,0,0,0,2,0,4,1,3,0,3,0,0,0,1,0,0,2,0,0,2,1,0,4,0,0,1,0,0,1,0,0,0,1,0,0,1
