jrk_template	Phylum	Class	Order	Family	GENUS	Secondary_lifestyle	Genus	
jrk11009	Ascomycota	Dothideomycetes	Asterinales	Asterinaceae	Pycnocarpon	litter_saprotroph	#N/A	#N/A
jrk11010	Ascomycota	Dothideomycetes	Asterinales	Neobueliellaceae	Neobueliella		Vishniacozyma	0
jrk11028	Ascomycota	Dothideomycetes	Muyocopronales	Muyocopronaceae	Neocochlearomyces		Hannaella	animal_decomposer
	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Anthodidymella		Alternaria	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	Aquimassariosphaeria		Tilletiopsis	litter_saprotroph
jrk11044	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	Neolindgomyces		Hannaella	animal_decomposer
jrk11061	Ascomycota	Dothideomycetes	Pleosporales	Longiostiolaceae	Crassiperidium		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Aquihelicascus		Didymella	litter_saprotroph
jrk11049	Ascomycota	Dothideomycetes	Pleosporales	Parabambusicolaceae	Paratrimmatostroma		Bullera	epiphyte
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Arezzomyces		Vishniacozyma	0
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Dlhawksworthia		Hannaella	animal_decomposer
jrk11053	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Hydeomyces		Papiliotrema	fungal_decomposer
jrk11057	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Piniphoma		Neoascochyta	litter_saprotroph
jrk11059	Ascomycota	Dothideomycetes	Pleosporales	Pleomonodictydaceae	Pleohelicoon		Symmetrospora	litter_saprotroph
jrk11060	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Typhicola		#N/A	#N/A
jrk11063	Ascomycota	Dothideomycetes	Pleosporales	Shiraiaceae	Rubroshiraia		Hannaella	animal_decomposer
	Ascomycota	Dothideomycetes	Pleosporales	Sulcatisporaceae	Anthosulcatispora		Cladosporium	plant_pathogen
jrk11067	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Liua		#N/A	#N/A
jrk11069	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Discotubeufia		#N/A	#N/A
	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Acantharia		#N/A	#N/A
	Ascomycota	Leotiomycetes	Leotiomycetes order incertae sedis	Leotiomycetes family incertae sedis	Clavidisculum		Dioszegia	0
jrk11121	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Heterotruncatella		Ophiosphaerella	litter_saprotroph
jrk11128	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriales family incertae sedis	Neoleptosporella		Hannaella	animal_decomposer
jrk11133	Ascomycota	Sordariomycetes	Delonicicolales	Delonicicolaceae	Furfurella		Neosetophoma	foliar_endophyte
jrk11134	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Capillaureum	wood_saprotroph	#N/A	#N/A
jrk11135	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Chrysomorbus	wood_saprotroph	Keissleriella	0
	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Eriocamporesia	wood_saprotroph	Coniothyrium	litter_saprotroph
jrk11140	Ascomycota	Sordariomycetes	Diaporthales	Neomelanconiellaceae	Neomelanconiella	litter_saprotroph	#N/A	#N/A
jrk11177	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiaceae	Neomyrmecridium		Vishniacozyma	0
jrk11178	Ascomycota	Sordariomycetes	Myrmecridiales	Xenodactylariaceae	Xenodactylaria		#N/A	#N/A
jrk11185	Ascomycota	Sordariomycetes	Xenospadicoidales	Xenospadicoidaceae	Pseudodiplococcium		Coniothyrium	litter_saprotroph
	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Adustochaete		#N/A	#N/A
	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Metulochaete		Septoriella	0
	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Proterochaete		#N/A	#N/A
	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Psilochaete		Epicoccum	litter_saprotroph
	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales family incertae sedis	Pekloderma	ericoid_mycorrhizal	#N/A	#N/A
jrk11219	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Geesterania		Vishniacozyma	0
jrk11000	Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Staurospora		Papiliotrema	fungal_decomposer
jrk11001	Ascomycota	Arthoniomycetes	Arthoniales	Chrysotrichaceae	Galbinothrix		Edenia	foliar_endophyte
jrk11002	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Amylogalla	fungal_decomposer	#N/A	#N/A
jrk11003	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Craspedodidymella		#N/A	#N/A
jrk11004	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Crousobrauniella		Vishniacozyma	0
jrk11005	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Hyalodermella		Symmetrospora	litter_saprotroph
jrk11006	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Saania	fungal_decomposer	Neoascochyta	litter_saprotroph
jrk11007	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Vizellopsidites		Tilletiopsis	litter_saprotroph
jrk11008	Ascomycota	Dothideomycetes	Asterinales	Asterinaceae	Asterostomella	foliar_endophyte	Symmetrospora	litter_saprotroph
jrk11011	Ascomycota	Dothideomycetes	Botryosphaeriales	Planistromellaceae	Mycosphaerellopsis		Stemphylium	litter_saprotroph
jrk11012	Ascomycota	Dothideomycetes	Botryosphaeriales	Planistromellaceae	Planistroma	wood_saprotroph	Vishniacozyma	0
jrk11013	Ascomycota	Dothideomycetes	Capnodiales	Aeminiaceae	Aeminium	litter_saprotroph	Dioszegia	0
jrk11014	Ascomycota	Dothideomycetes	Capnodiales	Dissoconiaceae	Globoramichloridium		Fusarium	litter_saprotroph
jrk11015	Ascomycota	Dothideomycetes	Capnodiales	Extremaceae	Paradevriesia		Fusarium	litter_saprotroph
jrk11016	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ceratosperma		Saitozyma	0
jrk11017	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Plurivorosphaerella		Cystofilobasidium	0
jrk11018	Ascomycota	Dothideomycetes	Capnodiales	Phaeothecoidiellaceae	Nowamyces		Neosetophoma	foliar_endophyte
	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Lawreya	fungal_decomposer	Vishniacozyma	0
jrk11019	Ascomycota	Dothideomycetes	Capnodiales	Xenodevriesiaceae	Xenodevriesia		Vishniacozyma	0
jrk11020	Ascomycota	Dothideomycetes	Dothideales	Neocelosporiaceae	Neocelosporium		Cystobasidium	fungal_decomposer
	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Pseudoconlarium		Ophiosphaerella	litter_saprotroph
jrk11021	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Neoparodiaceae	Neoparodia		Vishniacozyma	0
jrk11022	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Paranectriellaceae	Araneomyces		Paraphoma	wood_saprotroph
jrk11024	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Trichothyriaceae	Lichenopeltella	fungal_decomposer	Leptospora	0
jrk11025	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Trichothyriaceae	Pachythyrium	fungal_decomposer	Tricellula	0
jrk11026	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Trichothyriaceae	Trichothyrium	mycoparasite	#N/A	#N/A
jrk11027	Ascomycota	Dothideomycetes	Eremithallales	Melaspileaceae	Eremithallus		Dioszegia	0
	Ascomycota	Dothideomycetes	Jahnulales	Aliquandostipitaceae	Neojahnula		#N/A	#N/A
	Ascomycota	Dothideomycetes	Jahnulales	Aliquandostipitaceae	Pseudojahnula		#N/A	#N/A
jrk11029	Ascomycota	Dothideomycetes	Muyocopronales	Muyocopronaceae	Neomycoleptodiscus		Sporobolomyces	0
	Ascomycota	Dothideomycetes	Muyocopronales	Muyocopronaceae	Pseudopalawania		Hansfordia	0
	Ascomycota	Dothideomycetes	Muyocopronales	Muyocopronaceae	Setoapiospora		Dioszegia	0
jrk11030	Ascomycota	Dothideomycetes	Pleosporales	Aigialaceae	Posidoniomyces		#N/A	#N/A
jrk11031	Ascomycota	Dothideomycetes	Pleosporales	Amorosiaceae	Alfoldia		Vishniacozyma	0
jrk11032	Ascomycota	Dothideomycetes	Pleosporales	Amorosiaceae	Amorocoelophoma		Microdochium	foliar_endophyte
jrk11033	Ascomycota	Dothideomycetes	Pleosporales	Anteagloniaceae	Purplema		Leptospora	0
jrk11034	Ascomycota	Dothideomycetes	Pleosporales	Astrosphaeriellaceae	Quercicola		Setophoma	unsepcified_saprotroph
jrk11035	Ascomycota	Dothideomycetes	Pleosporales	Astrosphaeriellaceae	Xenoastrosphaeriella		Phaeosphaeria	0
	Ascomycota	Dothideomycetes	Pleosporales	Bambusicolaceae	Corylicola		#N/A	#N/A
jrk11036	Ascomycota	Dothideomycetes	Pleosporales	Bambusicolaceae	Leucaenicola		Phaeosphaeriopsis	litter_saprotroph
jrk11037	Ascomycota	Dothideomycetes	Pleosporales	Corynesporascaceae	Corynesporasca		#N/A	#N/A
jrk11038	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Synfenestella		#N/A	#N/A
jrk11039	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Pseudoconiothyrium		Paraphoma	wood_saprotroph
jrk11040	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Sphaeronaema		Stagonosporopsis	0
	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Vandijckomycella		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Chromolaenicola	litter_saprotroph	#N/A	#N/A
jrk11041	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Neptunomyces		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudodidymocyrtis	fungal_decomposer	Exidia	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Latoruaceae	Triseptata		Bulleribasidium	0
	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Pseudomurilentithecium		Fusarium	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Ochraceocephala		Zymoseptoria	litter_saprotroph
jrk11042	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Pseudoleptosphaeria	wood_saprotroph	Taphrina	0
	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Sclerenchymomyces		Leptospora	0
jrk11043	Ascomycota	Dothideomycetes	Pleosporales	Ligninsphaeriaceae	Ligninsphaeriopsis		Curvularia	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Longipedicellataceae	Submerspora		Filobasidium	0
	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Kiskunsagia		Rhodotorula	foliar_endophyte
jrk11045	Ascomycota	Dothideomycetes	Pleosporales	Massariaceae	Paramassaria		Paraphoma	wood_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Neohelicascus		#N/A	#N/A
jrk11046	Ascomycota	Dothideomycetes	Pleosporales	Neohendersoniaceae	Neomedicopsis		Neodevriesia	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Neomassarinaceae	Pseudohelminthosporium		Neosetophoma	foliar_endophyte
jrk11047	Ascomycota	Dothideomycetes	Pleosporales	Occultibambusaceae	Brunneofusispora		Papiliotrema	fungal_decomposer
jrk11048	Ascomycota	Dothideomycetes	Pleosporales	Parabambusicolaceae	Lonicericola		Herpotrichia	wood_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Parabambusicolaceae	Paramonodictys		#N/A	#N/A
jrk11050	Ascomycota	Dothideomycetes	Pleosporales	Paralophiostomataceae	Paralophiostoma		Filobasidium	0
	Ascomycota	Dothideomycetes	Pleosporales	Phaeoseptaceae	Pleopunctum		Dioszegia	0
jrk11051	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Amarenomyces		Paraophiobolus	wood_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Bhagirathimyces		Sporobolomyces	0
jrk11052	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Brunneomurispora		Exidia	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Hydeopsis		Phaeosphaeria	0
jrk11054	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Jeremyomyces		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Kwanghwana	litter_saprotroph	Papiliotrema	fungal_decomposer
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Murichromolaenicola		Paraphoma	wood_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neoophiobolus		Phaeodactylium	litter_saprotroph
jrk11055	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neostagonosporella		Taphrina	0
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraleptospora		Piniphoma	0
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraloratospora		Wojnowiciella	wood_saprotroph
jrk11056	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeoseptoriella		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Pseudoophiosphaerella		Cladosporium	plant_pathogen
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Pseudostaurosphaeria		Neosetophoma	foliar_endophyte
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Wingfieldomyces	plant_pathogen	#N/A	#N/A
jrk11058	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Vittaliana		#N/A	#N/A
jrk11062	Ascomycota	Dothideomycetes	Pleosporales	Pseudoastrosphaeriellaceae	Pseudoastrosphaeriellopsis		Aureobasidium	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Pseudomassarinaceae	Pseudomassarina	litter_saprotroph	Zymoseptoria	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Pyrenochaetopsidaceae	Xenopyrenochaetopsis	plant_pathogen	#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Roussoellaceae	Pseudoroussoella		Sarocladium	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Roussoellaceae	Setoarthopyrenia		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Roussoellaceae	Xenoroussoella		Filobasidium	0
jrk11064	Ascomycota	Dothideomycetes	Pleosporales	Striatiguttulaceae	Longicorpus		#N/A	#N/A
jrk11065	Ascomycota	Dothideomycetes	Pleosporales	Striatiguttulaceae	Striatiguttula		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Sulcatisporaceae	Parasulcatispora		Neosetophoma	foliar_endophyte
jrk11066	Ascomycota	Dothideomycetes	Pleosporales	Testudinaceae	Halotestudina		Angustimassarina	wood_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Chromolaenomyces		Xenoramularia	0
	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Pseudothyridariella		Filobasidium	0
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Dichoporis		Dioszegia	0
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Phyllocharis		Sporobolomyces	0
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Phyllocraterina		Leucosporidium	0
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Phylloporis		Pyricularia	0
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Puiggariella		Paraphoma	wood_saprotroph
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Raciborskiella		Plectosphaerella	litter_saprotroph
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Racoplaca		#N/A	#N/A
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Serusiauxiella		#N/A	#N/A
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Swinscowia		Tilletiopsis	litter_saprotroph
jrk11068	Ascomycota	Dothideomycetes	Strigulales	Tenuitholiascaceae	Tenuitholiascus		#N/A	#N/A
	Ascomycota	Dothideomycetes	Trypetheliales	Trypetheliaceae	Pseudobogoriella	wood_saprotroph	Paraphaeosphaeria	0
	Ascomycota	Dothideomycetes	Trypetheliales	Trypetheliaceae	Schummia		Dioszegia	0
	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Camporesiomyces		#N/A	#N/A
jrk11070	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Kevinhydea		#N/A	#N/A
	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Bellamyces		Mortierella	root-associated
	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Fuscohilum		#N/A	#N/A
	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Helicopsis		Septoriella	0
	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Neofusicladium		Stagonosporopsis	0
	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Parafusicladium		#N/A	#N/A
	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Pinaceicola		Microdochium	foliar_endophyte
	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Sterila		#N/A	#N/A
	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Dimerosporiopsis		Paradevriesia	0
	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Fagicola		Papiliotrema	fungal_decomposer
	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Fraxinicola	foliar_endophyte	#N/A	#N/A
jrk11071	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales family incertae sedis	Laeviomyces	fungal_decomposer	Bipolaris	litter_saprotroph
jrk11072	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Ajellomyces		#N/A	#N/A
	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Emydomyces	animal_decomposer	#N/A	#N/A
	Ascomycota	Eurotiomycetes	Sclerococcales	Dactylosporaceae	Pseudosclerococcum		Ramularia	0
jrk11073	Ascomycota	Laboulbeniomycetes	Laboulbeniales	Laboulbeniaceae	Bordea	animal_decomposer	Occultifur	litter_saprotroph
jrk11074	Ascomycota	Laboulbeniomycetes	Laboulbeniales	Laboulbeniaceae	Thaxterimyces	animal_decomposer	Cladosporium	plant_pathogen
	Ascomycota	Lecanoromycetes	Caliciales	Caliciaceae	Burrowsia		Phaeosphaeria	0
jrk11075	Ascomycota	Lecanoromycetes	Graphidales	Graphidaceae	Allographa		#N/A	#N/A
jrk11076	Ascomycota	Lecanoromycetes	Graphidales	Graphidaceae	Cryptoschizotrema		#N/A	#N/A
jrk11077	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Pulchrocladia		Nigrospora	0
jrk11078	Ascomycota	Lecanoromycetes	Lecanorales	Lecanorales family incertae sedis	Myochroidea		#N/A	#N/A
jrk11079	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Neoprotoparmelia		#N/A	#N/A
	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Namibialina		Monochaetia	0
	Ascomycota	Lecanoromycetes	Ostropales	Graphidaceae	Jocatoa		#N/A	#N/A
jrk11080	Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae	Neofitzroyomyces		Paraphoma	wood_saprotroph
	Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae	Neostictis		#N/A	#N/A
	Ascomycota	Lecanoromycetes	Peltigerales	Pannariaceae	Atrophysma		Leptospora	0
jrk11081	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Dijigiella		Alternaria	litter_saprotroph
jrk11082	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Hosseusiella		Pyrenophora	wood_saprotroph
jrk11083	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Nevilleiella		#N/A	#N/A
jrk11084	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Rehmaniella		#N/A	#N/A
jrk11085	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Teuvoahtiana		Tilletiopsis	litter_saprotroph
jrk11086	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Upretia		Neosetophoma	foliar_endophyte
	Ascomycota	Lecanoromycetes	Thelocarpales	Thelocarpaceae	Carneothele		Tilletia	0
jrk11087	Ascomycota	Lecanoromycetes	Turquoiseomycetales	Turquoiseomycetaceae	Turquoiseomyces		#N/A	#N/A
jrk11091	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Oidiopsis		#N/A	#N/A
jrk11092	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Typhulochaeta		Colletotrichum	litter_saprotroph
jrk11093	Ascomycota	Leotiomycetes	Helotiales	Arachnopezizaceae	Arachnoscypha		Minimedusa	fungal_decomposer
	Ascomycota	Leotiomycetes	Helotiales	Chrysodiscaceae	Chrysodisca		Phaeosphaeria	0
jrk11088	Ascomycota	Leotiomycetes	Helotiales	Cordieritidaceae	Annabella		Fusarium	litter_saprotroph
	Ascomycota	Leotiomycetes	Helotiales	Cordieritidaceae	Lawreyella	fungal_decomposer	Filobasidium	0
jrk11089	Ascomycota	Leotiomycetes	Helotiales	Cordieritidaceae	Phaeangella		Neosetophoma	foliar_endophyte
jrk11102	Ascomycota	Leotiomycetes	Helotiales	Discinellaceae	Geocoryne		#N/A	#N/A
jrk11095	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Chaetoscypha		Saitozyma	0
jrk11096	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Eubelonis		Neosetophoma	foliar_endophyte
jrk11097	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Arboricolonus	wood_saprotroph	Neosetophoma	foliar_endophyte
jrk11094	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Asterocalyx		Alternaria	litter_saprotroph
jrk11090	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Brefeldochium		Septoriella	0
	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Kukwaea	fungal_decomposer	#N/A	#N/A
jrk11105	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Pachydisca		Phaeosphaeria	0
jrk11106	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Patinellaria		Alternaria	litter_saprotroph
jrk11107	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Phragmonaevia		Pyricularia	0
jrk11098	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gamarada	soil_saprotroph	Neoascochyta	litter_saprotroph
jrk11104	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Scolecolachnum		Ascochyta	0
jrk11099	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Tubolachnum		Chaetosphaeronema	litter_saprotroph
jrk11100	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Tapesia		Zymoseptoria	litter_saprotroph
jrk11109	Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Phialina		Septoriella	0
jrk11101	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Ploettnerula		#N/A	#N/A
	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Pseudolanzia		#N/A	#N/A
jrk08321	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Staheliella		#N/A	#N/A
jrk11108	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Mycopappus		Tilletia	0
	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Srinivasanomyces		Neofitzroyomyces	0
jrk11103	Ascomycota	Leotiomycetes	Leotiales	Tympanidaceae	Aotearoamyces		Neosetophoma	foliar_endophyte
	Ascomycota	Leotiomycetes	Leotiomycetes order incertae sedis	Leotiomycetes family incertae sedis	Blastosporium		#N/A	#N/A
jrk11110	Ascomycota	Leotiomycetes	Rhytismatales	Rhytismataceae	Heufleria		#N/A	#N/A
jrk11111	Ascomycota	Leotiomycetes	Rhytismatales	Rhytismataceae	Mycomelanea		Mrakiella	0
jrk11112	Ascomycota	Leotiomycetes	Rhytismatales	Rhytismataceae	Triblidiopsis	foliar_endophyte	Leptospora	0
jrk11113	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Ascophanus		Neosetophoma	foliar_endophyte
jrk11114	Ascomycota	Pezizomycetes	Pezizales	Pezizales family incertae sedis	Dennisiopsis		Apenidiella	plant_pathogen
	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Geocavicola		Cercospora	0
jrk11115	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Lasiocupulina		Pyrenochaetopsis	litter_saprotroph
	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pseudocoprotus		Neosetophoma	foliar_endophyte
jrk11116	Ascomycota	Pezizomycotina class incertae sedis	Pezizomycotina order incertae sedis	Pezizomycotina family incertae sedis	Pygmaeosphaera	fungal_decomposer	Plenodomus	litter_saprotroph
	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycopsidaceae	Ascopersicus		Vishniacozyma	0
jrk11117	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Diploceras		Neosetophoma	foliar_endophyte
jrk11118	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Disaeta		Neosetophoma	foliar_endophyte
jrk11119	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Distononappendiculata		Heterophoma	litter_saprotroph
jrk11120	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Diversimediispora		#N/A	#N/A
jrk11122	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Nonappendiculata		Neocamarosporium	plant_pathogen
jrk11123	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Parabartalinia		Filobasidium	0
jrk11124	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Pseudosarcostroma		Radulidium	0
jrk11125	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Xenoseimatosporium		#N/A	#N/A
jrk11126	Ascomycota	Sordariomycetes	Cephalothecales	Cephalothecaceae	Victoriomyces		Bulleribasidium	0
jrk11127	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Miyoshiella		Ophiognomonia	0
jrk11129	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriales family incertae sedis	Neonawawia		Kondoa	0
