"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_5136","Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","","",""
"OTU_7460","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Tubeufia",""
"OTU_4732","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleomassariaceae","Tumularia",""
"OTU_756","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","",""
"OTU_1095","Fungi","","","","","",""
"OTU_7280","Fungi","Ascomycota","Leotiomycetes","Helotiales","","Triscelophorus",""
"OTU_2306","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium rileyi "
"OTU_1649","Fungi","Glomeromycota","Glomeromycetes","Gigasporales","Gigasporaceae","Cetraspora","Cetraspora gilmorei "
"OTU_3004","Fungi","Basidiomycota","Tremellomycetes","Tremellales","","",""
"OTU_2806","","","","","","",""
"OTU_4804","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium",""
"OTU_5053","Fungi","Ascomycota","","","","",""
"OTU_7350","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Alphamycetaceae","Betamyces",""
"OTU_332","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","",""
"OTU_891","Fungi","Ascomycota","Sordariomycetes","Sordariales","","",""
"OTU_4788","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Rhinocladiella",""
"OTU_421","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Murispora",""
"OTU_2223","","","","","","",""
"OTU_1754","Fungi","Ascomycota","Leotiomycetes","Helotiales","","Badarisama",""
"OTU_1853","Fungi","","","","","",""
"OTU_1168","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Minimedusa","Minimedusa polyspora "
"OTU_1054","Fungi","Basidiomycota","Agaricomycetes","","","",""
"OTU_314","Fungi","Ascomycota","","","","",""
"OTU_2114","Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Cladorrhinum","Cladorrhinum foecundissimum "
