"","Sample0682","Sample0614","Sample0647","Sample0678","Sample0612","Sample0685","Sample0650","Sample0613","Sample0606","Sample0611","Sample0687","Sample0681","Sample0652","Sample0677","Sample0608","Sample0641","Sample0683","Sample0645","Sample0643","Sample0649","Sample0615","Sample0680","Sample0642","Sample0684","Sample0679","Sample0616","Sample0686","Sample0607","Sample0648","Sample0605","Sample0644","Sample0651","Sample0610","Sample0688","Sample0609","Sample0646","Sample0087","Sample0083","Sample0050","Sample0012","Sample0046","Sample0042","Sample0049","Sample0007","Sample0003","Sample0091","Sample0047","Sample0045","Sample0006","Sample0040","Sample0086","Sample0094","Sample0011","Sample0005","Sample0044","Sample0088","Sample0092","Sample0089","Sample0090","Sample0008","Sample0002","Sample0001","Sample0048","Sample0013","Sample0093","Sample0010","Sample0041","Sample0085","Sample0004","Sample0084","Sample0043","Sample0051"
"OTU_17",0,0,0,0,22,1,0,0,0,1,0,0,7,0,0,0,99,0,6,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,4,0,0,1,90,13,28,0,0,0,10,5,29,18,2,1,0,0,3,0,37,37,0,70,10,41,109,6,0,0,0,0
"OTU_23",0,67,0,520,3,5,0,7,20,0,0,0,8,0,3,0,0,46,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_36",0,17,110,0,0,16,0,0,0,0,0,0,0,0,6,0,0,0,0,11,0,0,0,8,0,5,0,0,0,2,0,0,0,26,0,15,0,7,0,0,0,0,0,11,28,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0
"OTU_32",0,0,0,0,21,0,0,0,0,0,0,6,18,0,0,0,28,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,1,0,0,0,1,81,9,0,0,0,0,10,6,21,12,22,1,1,1,0,89,136,37,35,17,19,24,0,24,0,0,0,0
"OTU_10",0,755,102,0,27,781,0,0,4,0,13,0,0,0,0,13,0,397,0,1,1,72,65,0,87,26,0,0,13,165,0,0,0,0,341,18,14,14,0,15,38,20,0,112,243,10,11,1,56,5,12,10,57,25,304,0,43,1,2,70,295,100,30,206,43,150,1,16,0,2,0,0
"OTU_20",0,19,0,0,52,0,0,5,0,6,0,7,4,0,0,17,14,0,0,28,0,9,0,3,0,0,0,0,98,0,32,0,0,0,0,0,0,8,1,0,0,37,0,0,102,19,0,0,13,35,10,1,79,7,8,0,0,0,9,0,220,14,0,109,8,0,87,3,0,0,0,0
"OTU_2",31,600,965,51,1377,323,1841,26,163,34,1486,133,988,2,33,288,69,341,25,2778,630,115,1483,302,31,158,8,880,528,61,249,94,38,88,1197,161,31,66,29,348,37,41,167,1,564,75,151,10,206,118,94,195,151,91,854,37,66,28,33,66,377,173,142,374,401,92,63,153,1,3,0,0
"OTU_85",0,11,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,12,0,0,0,0,0,0,6,1,0,20,0,0,0,0,0,0,0
"OTU_18",3,89,309,0,1129,24,83,89,344,3,16,156,519,15,72,162,16,219,12,1191,0,16,83,1636,0,599,0,304,969,2,121,0,0,0,321,66,23,10,19,22,45,105,77,7,96,28,223,13,88,41,45,27,38,109,70,78,97,23,11,11,44,112,87,110,188,53,0,75,0,5,0,1
"OTU_2407",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,1,0,2,1,1,0,1,0,90,0,2,0,0,2,4,1,6,14,4,3,0,53,0,0,0,0
