#OTU ID	R3T2r1Csoil	R3T1r1Bsoil	R3T4r2Bsoil	V2T4r2Csoil	R6T1r1Bsoil	V2T2r1Asoil	R6T1r6Asoil	R3T2r1Asoil	R6T2r5Csoil	V2T4r1Csoil	V2T4r6Csoil	R3T1r5Asoil	R6T2r5Asoil	V2T2r5Asoil	R3T1r5Csoil	R6T1r2Asoil	R3T2r6Bsoil	R6T2r2Csoil	R3T1r6Asoil	V2T4r1Bsoil	R3T4r5Csoil	R3T4r5Asoil	R3T1r1Csoil	R6T2r6Bsoil	V2T1r6Bsoil	V2T4r2Asoil	R3T1r6Bsoil	V2T4r5Bsoil	R6T2r5Bsoil	R6T2r2Bsoil	R6T1r2Csoil	R6T1r5Bsoil	R3T2r2Csoil	V2T1r2Bsoil	V2T1r2Csoil	R3T1r2Csoil	V2T1r6Csoil	R3T4r1Bsoil	R6T1r1Csoil	R3T4r6Bsoil	R3T1r2Bsoil	R3T4r2Asoil	V2T2r2Bsoil	V2T4r5Csoil	R3T4r1Csoil	V2T1r2Asoil	R3T2r5Asoil	R6T2r6Asoil	R6T2r2Asoil	R6T2r1Asoil	R3T4r1Asoil	V2T2r6Asoil	R6T1r5Asoil	R3T1r1Asoil	R3T1r5Bsoil	V2T4r6Bsoil	V2T2r1Bsoil	V2T4r2Bsoil	V2T4r6Asoil	R3T4r6Csoil	R3T2r2Bsoil	V2T1r5Bsoil	V2T1r6Asoil	V2T2r6Bsoil	R3T4r6Asoil	V2T1r1Bsoil	R3T2r1Bsoil	R6T1r1Asoil	V2T2r5Bsoil	R6T1r6Csoil	R6T1r5Csoil	R6T1r6Bsoil	R3T4r5Bsoil	V2T4r5Asoil	V2T2r1Csoil	R3T4r2Csoil	R6T2r1Bsoil	R3T1r6Csoil	R6T1r2Bsoil	V2T2r2Asoil	V2T1r5Asoil	V2T4r1Asoil	V2T1r1Asoil	R3T1r2Asoil	V2T2r5Csoil	V2T1r1Csoil	R3T2r5Csoil	R6T2r1Csoil	R3T2r5Bsoil	V2T2r6Csoil	V2T1r5Csoil	R3T2r2Asoil	V2T2r2Csoil	R3T2r6Csoil	R6T4r5Bsoil	R6T2r6Csoil	R3T2r6Asoil	NC1soil	R6T4r5Csoil	R6T4r1Asoil
OTU_141	4	213	63	509	0	0	77	0	0	953	0	1123	0	87	0	0	244	0	223	0	0	0	0	0	113	0	0	0	0	52	252	0	272	0	0	0	145	141	200	1	251	0	0	88	1	0	0	77	0	0	0	102	0	0	89	93	0	0	0	0	0	0	0	109	0	33	0	0	0	21	0	0	0	183	0	0	121	0	0	0	166	1192	0	0	0	227	1	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_91	330	76	0	30	0	0	0	0	0	0	0	20	8935	201	0	0	936	0	0	0	0	7	76	0	114	0	113	0	0	0	62	0	211	0	189	0	0	78	0	0	19	0	0	0	0	0	0	74	0	0	0	628	0	0	0	0	2262	0	0	0	0	0	0	0	169	0	0	0	20	0	0	0	0	258	71	0	120	0	0	0	0	0	0	0	0	52	0	0	0	0	8	0	0	0	0	0	0	0	0	0
OTU_20	0	0	0	0	0	0	0	0	0	0	0	1	0	50512	0	0	1	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	1	0	0	0
OTU_5	271	994	715	2907	5216	524	479	2611	2695	8189	615	694	768	1182	3352	1573	2313	2807	1049	4726	802	914	3080	0	4758	466	665	831	132	1337	1843	1257	666	754	750	3070	522	0	750	878	5049	556	495	2122	819	296	976	204	227	97	345	1094	884	1761	524	474	1165	863	9272	923	104	1044	1507	1332	569	2865	2529	1242	55	597	9105	1992	282	687	213	2131	525	813	365	107	754	1573	235	16723	345	4540	1579	369	306	415	326	137	399	46	1	0	25	80	0	0
OTU_596	0	0	0	0	0	0	211	0	0	0	0	0	0	0	381	261	0	31	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	8	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8	565	3533	76	1787	539	0	104	406	39	6554	3490	1384	5771	2172	828	164	4461	1	3699	186	0	35839	2002	1522	3282	1	602	57	603	405	9355	1	4168	0	9581	0	3338	3059	2729	1051	1848	0	1458	1062	1297	981	1424	5028	1	1	96	4010	1433	29	1078	1484	4536	133	421	0	0	15	0	3078	2519	24	0	416	540	298	1560	2140	1205	291	578	54	5362	0	437	2	1085	123	364	66	0	5725	236	364	0	58	159	88	1	12	0	0	2	0	0	0
OTU_150	19	1984	0	462	33	63	128	0	0	0	0	148	105	46	0	0	80	0	434	83	0	37	89	49	90	0	0	141	515	31	518	464	350	138	239	0	187	90	264	5	0	0	16	0	0	21	42	308	0	0	0	192	145	0	126	112	109	13	152	0	0	49	0	41	0	26	0	0	29	0	7	67	0	29	0	0	555	0	0	11	0	0	0	12	0	147	40	0	0	344	0	0	17	0	0	0	0	0	0	0
OTU_22	0	0	1099	0	134	0	5	1813	0	0	1682	356	2	0	378	2705	0	6341	0	5	1886	0	511	0	120	2347	189	112	682	166	0	35	0	16	0	46	189	5	0	812	101	48	449	374	2002	1073	658	0	41	20	2219	236	0	214	511	0	45	516	83	1375	3603	34	47	114	0	9	106	136	501	161	142	0	6472	234	0	35	0	94	0	36	277	139	0	18	203	0	1562	0	79	96	10	392	26	35	0	0	0	0	1	0
OTU_12	7795	225	150	24	0	0	0	1934	154	2303	0	6550	0	0	295	1	106	434	21755	23	0	678	290	0	66	0	23	145	1247	0	68	30	403	544	904	1770	134	123	0	107	3245	717	71	338	137	168	44	133	65	0	1706	0	0	0	4535	42	617	64	73	13085	0	243	0	0	0	0	325	39	0	2094	89	510	0	639	0	0	5105	1	1	0	0	198	71	0	0	143	2026	0	0	39	149	275	0	0	0	0	0	0	0	0
OTU_61	0	56	45	6	0	0	0	0	0	0	1717	0	0	0	0	0	0	0	647	14967	0	93	0	0	0	0	0	0	0	0	21	0	0	0	0	0	180	0	0	0	38	0	8	145	0	0	0	0	30	68	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	18	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
