OTU_ID	Kingdom_RDP	Kingdom_BLAST	Kingdom_SINTAX	Kingdom_Consensus	Phylum_RDP	Phylum_BLAST	Phylum_SINTAX	Phylum_Consensus	Class_RDP	Class_BLAST	Class_SINTAX	Class_Consensus	Order_RDP	Order_BLAST	Order_SINTAX	Order_Consensus	Family_RDP	Family_BLAST	Family_SINTAX	Family_Consensus	Genus_RDP	Genus_BLAST	Genus_SINTAX	Genus_Consensus	Species_RDP	Species_BLAST	Species_SINTAX	Species_Consensus
OTU_646	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Eurotiomycetes_1	Eurotiomycetes_1	Eurotiomycetes_1	Eurotiomycetes_1	Chaetothyriales_1	Chaetothyriales_1	Chaetothyriales_1	Chaetothyriales_1	Trichomeriaceae_1	Trichomeriaceae_1	Trichomeriaceae_1	Trichomeriaceae_1	Knufia_1	Knufia_1	Knufia_1	Knufia_1	Knufia petricola 			Knufia petricola 
OTU_647																												
OTU_648	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Leotiomycetes_1	Leotiomycetes_1	Leotiomycetes_1	Leotiomycetes_1	Helotiales_1	Helotiales_1	Helotiales_1	Helotiales_1												
OTU_649	Fungi_1	Fungi_1	Fungi_1	Fungi_1		Ascomycota_1		Ascomycota_1		Dothideomycetes_1		Dothideomycetes_1		Pleosporales_1		Pleosporales_1		Phaeosphaeriaceae_1		Phaeosphaeriaceae_1		Neosetophoma_1		Neosetophoma_1				
OTU_650	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Magnaporthales_1	Magnaporthales_1	Magnaporthales_1	Magnaporthales_1	Magnaporthaceae_1	Magnaporthaceae_1	Magnaporthaceae_1	Magnaporthaceae_1	Mycoleptodiscus_1	Mycoleptodiscus_1	Mycoleptodiscus_1	Mycoleptodiscus_1	Mycoleptodiscus terrestris 			Mycoleptodiscus terrestris 
OTU_651	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Glomerellales_1	Glomerellales_1	Glomerellales_1	Glomerellales_1	Glomerellaceae_1	Glomerellaceae_1	Glomerellaceae_1	Glomerellaceae_1	Colletotrichum_1	Colletotrichum_1	Colletotrichum_1	Colletotrichum_1	Colletotrichum destructivum 			Colletotrichum destructivum 
OTU_652	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Chytridiomycota_1	Chytridiomycota_1	Chytridiomycota_1	Chytridiomycota_1	Rhizophlyctidomycetes_1	Rhizophlyctidomycetes_1	Rhizophlyctidomycetes_1	Rhizophlyctidomycetes_1	Rhizophlyctidales_1	Rhizophlyctidales_1	Rhizophlyctidales_1	Rhizophlyctidales_1												
OTU_653	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Mucoromycota_1	Mucoromycota_1	Mucoromycota_1	Mucoromycota_1	Mucoromycetes_1	Mucoromycetes_1	Mucoromycetes_1	Mucoromycetes_1	Mucorales_1	Mucorales_1	Mucorales_1	Mucorales_1	Mucoraceae_1	Mucoraceae_1	Mucoraceae_1	Mucoraceae_1	Mucor_1	Mucor_1	Mucor_1	Mucor_1				
OTU_654	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Pucciniomycetes_1	Pucciniomycetes_1	Pucciniomycetes_1	Pucciniomycetes_1	Pucciniales_1	Pucciniales_1	Pucciniales_1	Pucciniales_1	Melampsoraceae_1	Melampsoraceae_1	Melampsoraceae_1	Melampsoraceae_1	Melampsora_1	Melampsora_1	Melampsora_1	Melampsora_1				
OTU_655	Fungi_1	Fungi_1	Fungi_1	Fungi_1		Ascomycota_1		Ascomycota_1		Dothideomycetes_1		Dothideomycetes_1		Pleosporales_1		Pleosporales_1		Periconiaceae_1		Periconiaceae_1		Periconia_1		Periconia_1				
OTU_656	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Diaporthales_1	Diaporthales_1	Diaporthales_1	Diaporthales_1	Diaporthaceae_1	Diaporthaceae_1	Diaporthaceae_1	Diaporthaceae_1	Diaporthe_1	Diaporthe_1	Diaporthe_1	Diaporthe_1				
OTU_657	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Hypocreales_1	Hypocreales_1	Hypocreales_1	Hypocreales_1		Incertae_sedis		Incertae_sedis		Sarocladium_1		Sarocladium_1				
OTU_658	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Diaporthales_1	Diaporthales_1	Diaporthales_1	Diaporthales_1	Gnomoniaceae_1	Gnomoniaceae_1	Gnomoniaceae_1	Gnomoniaceae_1								
OTU_659	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Pezizomycetes_1	Pezizomycetes_1	Pezizomycetes_1	Pezizomycetes_1	Pezizales_1	Pezizales_1	Pezizales_1	Pezizales_1	Ascobolaceae_1	Ascobolaceae_1	Ascobolaceae_1	Ascobolaceae_1	Ascobolus_1	Ascobolus_1	Ascobolus_1	Ascobolus_1				
OTU_660	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Pleosporales_1												
OTU_661	Fungi_1	Fungi_1	Fungi_1	Fungi_1		Ascomycota_1	Ascomycota_1	Ascomycota_1		Dothideomycetes_1		Dothideomycetes_1		Pleosporales_1		Pleosporales_1		Phaeosphaeriaceae_1		Phaeosphaeriaceae_1		Neosetophoma_1		Neosetophoma_1				
OTU_662	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Phaeosphaeriaceae_1	Phaeosphaeriaceae_1	Phaeosphaeriaceae_1	Phaeosphaeriaceae_1	Phaeosphaeria_1		Phaeosphaeria_1	Phaeosphaeria_1				
