#OTU ID	R3T2r2Cleaf	V2T4r6Bleaf	R3T1r5Cleaf	R6T1r2Bleaf	R6T2r1Bleaf	R3T2r1Bleaf	R3T1r6Cleaf	V2T4r6Aleaf	V2T1r1Cleaf	R3T2r6Cleaf	R3T4r1Cleaf	V2T2r6Bleaf	R3T4r6Cleaf	R6T2r6Bleaf	V2T4r2Cleaf	R3T4r1Aleaf	V2T4r5Bleaf	V2T1r5Cleaf	V2T1r6Bleaf	R3T1r1Cleaf	V2T4r5Aleaf	V2T1r2Cleaf	R3T4r5Aleaf	R3T1r2Bleaf	R3T1r5Aleaf	R3T4r6Bleaf	R3T4r2Aleaf	R3T2r2Bleaf	R3T2r5Cleaf	R6T2r2Bleaf	R3T2r2Aleaf	R6T2r5Cleaf	V2T2r5Bleaf	R3T1r1Aleaf	R3T2r6Bleaf	V2T4r2Bleaf	R3T1r5Bleaf	R3T2r5Aleaf	V2T1r5Bleaf	R3T2r5Bleaf	V2T1r6Aleaf	R6T1r6Cleaf	V2T4r2Aleaf	V2T2r6Cleaf	R6T2r6Aleaf	V2T1r2Aleaf	R6T2r2Aleaf	V2T1r1Aleaf	R6T4r1Aleaf	V2T2r2Bleaf	V2T2r2Aleaf	R6T2r5Bleaf	V2T2r1Aleaf	R3T4r2Cleaf	R6T2r2Cleaf	R3T4r2Bleaf	R3T1r2Cleaf	R3T1r1Bleaf	R3T4r6Aleaf	R6T2r5Aleaf	R6T1r1Bleaf	R3T2r1Cleaf	V2T1r5Aleaf	R3T1r2Aleaf	R6T2r1Cleaf	R6T4r5Bleaf	V2T4r1Cleaf	R6T1r2Aleaf	R3T4r5Bleaf	V2T4r5Cleaf	R3T4r5Cleaf	V2T1r1Bleaf	R6T1r5Bleaf	R6T4r5Cleaf	R3T2r1Aleaf	R6T2r1Aleaf	R6T1r6Bleaf	V2T2r5Aleaf	R6T1r6Aleaf	V2T1r6Cleaf	R6T1r5Cleaf	R3T1r6Bleaf	V2T4r6Cleaf	V2T1r2Bleaf	R3T2r6Aleaf	R6T2r6Cleaf	V2T2r1Bleaf	V2T4r1Bleaf	R6T1r1Aleaf	R6T1r2Cleaf	V2T4r1Aleaf	R6T1r1Cleaf	V2T2r1Cleaf	R3T1r6Aleaf	V2T2r2Cleaf	R6T1r5Aleaf	V2T2r5Cleaf	V2T2r6Aleaf	R3T4r1Bleaf	R6T4r6Aleaf	NC1leaf
OTU_9	9028	13	6624	201	0	0	411	0	1	0	1917	2687	2443	1192	18128	64	15016	0	4	666	220	16	0	90	18	1480	3136	0	0	1	65	71	0	323	0	54	382	4403	746	793	1	17	53	567	63	26	1332	0	87	0	4813	0	630	0	1	0	0	2053	51	1	0	0	7702	579	192	1267	27	888	227	0	1365	0	3690	0	0	1	0	0	0	0	0	838	27	504	1	439	0	1	0	6	1	0	2471	1828	1	814	372	138	211	1	1
OTU_2113	0	0	0	19	0	0	9	5	0	0	0	8	769	17	23	442	0	0	0	484	41	0	0	0	0	4	0	0	0	8	138	0	30	20	0	40	73	17	41	118	0	0	97	308	0	3	40	0	89	0	2	0	0	3	0	13	0	0	0	0	12	0	0	9	0	0	2	397	1	0	30	0	1	0	0	175	0	0	0	19	0	56	47	173	2	17	0	7	2	0	0	0	3	0	0	11	32	23	0	0	0
OTU_13	98	1	850	2523	0	21	557	14	29	136	23	616	2148	136	51	629	57	17	6	72	2746	26	11	128	15	655	162	20514	45	277	179	1947	720	3583	0	618	762	270	4054	3110	0	1227	114	64	5	856	599	5	15	1	226	2620	392	1	0	0	21	0	16	8	4	21	32	1744	837	67	0	1327	175	0	229	16	1658	0	0	2702	1	4	0	61	33	141	816	708	0	21	32	11	79	8	0	0	1525	49	0	2262	52	0	7	0	2
OTU_3	2515	4434	3543	1722	1930	3765	4627	3456	1035	1558	3057	6357	5123	4579	2828	2889	5276	7935	2133	5927	7377	1267	3025	2994	2853	3402	4032	2172	2608	2830	1410	4829	1874	4722	2976	2938	1488	3021	4613	4225	2458	1199	2975	2106	2588	946	2132	5386	8147	1340	5716	3525	3497	3654	4073	1347	3267	2569	3702	2140	3140	2880	3466	3819	4248	6017	3376	3541	1553	3518	2816	2281	8937	0	2483	1804	808	4522	2831	1885	3237	3324	1630	3480	5233	3173	1772	5557	8052	2139	1361	701	7805	2267	1802	6147	3594	613	949	14	6
OTU_32	411	61	61	46	13	131	0	73	1	148	0	72	6	5	24	125	5	431	9	9	0	18	57	307	88	29	7	0	1543	2164	1301	0	93	43	77	77	11	15	3	14	106	0	78	8	0	22	0	756	51	178	0	63	86	150	91	694	115	0	28	12	97	20	8	0	52	12	246	175	49	517	5	181	3	0	878	0	0	53	423	1	1367	0	28	15	137	9	0	364	950	29	230	25	22	97	243	7	0	47	90	0	0
OTU_16	420	412	2680	1271	679	2000	3852	939	441	9000	1139	119	1076	674	346	1991	610	1093	1932	675	434	377	1312	2452	2496	541	1373	1647	2320	1200	2007	3039	391	6182	1840	1470	1587	297	4839	2582	544	982	3852	3640	294	991	1925	2204	741	759	4274	1870	3341	5833	882	1161	1611	347	353	1545	849	717	793	4209	871	288	1289	1766	5257	3326	3175	551	4115	0	1462	3421	212	785	1637	1478	850	779	1073	3689	664	1309	691	987	1292	156	679	523	248	320	436	468	1760	343	209	12	0
OTU_27	69	59	147	12	0	13	5821	17	0	33	15	110	1030	18	5	285	3	24	0	1723	945	0	0	46	0	143	7	140	0	16	434	0	137	2441	0	794	751	243	57	82	24	232	1101	315	0	44	19	14	73	0	54	334	0	3	11	24	31	31	5	0	12	0	66	16	206	0	26	616	92	0	238	0	171	0	0	95	0	0	3	4	0	110	145	93	3	353	0	85	15	0	0	0	718	0	17	77	114	48	31	0	0
OTU_2291	97	53	18	18	80	16	158	0	43	5	4	12	35	7	47	62	0	0	57	79	2	50	48	0	29	62	144	401	0	101	62	378	18	110	27	129	44	10	314	369	0	43	94	269	16	2	46	0	170	0	196	575	98	0	0	0	0	0	0	22	0	35	0	110	48	76	33	151	26	28	162	25	221	0	0	82	20	48	10	17	2	49	58	221	0	89	122	0	0	21	0	78	25	0	0	72	79	0	0	0	0
OTU_1316	1256	173	734	120	725	156	542	456	1091	179	267	1208	503	303	342	1490	708	6615	428	614	1472	302	479	633	507	580	478	650	826	704	491	328	390	149	402	75	645	277	1860	1206	31	576	790	613	281	310	442	449	833	91	909	210	452	385	344	40	154	1691	183	133	288	120	1220	282	344	568	374	17	638	111	283	1286	473	0	166	503	164	266	178	784	179	546	820	193	478	157	488	936	565	300	108	278	957	588	296	1789	185	0	236	1	0
OTU_7	4697	133	1362	1359	404	343	1920	136	73	1963	22933	6489	574	14880	349	503	742	187	560	22423	2142	1003	305	1079	289	3638	1177	693	459	165	432	717	4629	1813	371	1568	5970	7638	5612	2061	189	417	1690	2025	619	18354	2633	1534	3575	117	3938	3802	240	36	68	59	274	2275	616	315	47	110	15025	2824	1718	4163	207	2794	3555	1058	549	196	4401	1	107	1108	12	100	52	10781	36	11791	3591	842	68	1229	337	118	322	581	325	51	4087	1823	91	1693	449	346	664	8	0
