#OTU ID	R3T2r2Cleaf	V2T4r6Bleaf	R3T1r5Cleaf	R6T1r2Bleaf	R6T2r1Bleaf	R3T2r1Bleaf	R3T1r6Cleaf	V2T4r6Aleaf	V2T1r1Cleaf	R3T2r6Cleaf	R3T4r1Cleaf	V2T2r6Bleaf	R3T4r6Cleaf	R6T2r6Bleaf	V2T4r2Cleaf	R3T4r1Aleaf	V2T4r5Bleaf	V2T1r5Cleaf	V2T1r6Bleaf	R3T1r1Cleaf	V2T4r5Aleaf	V2T1r2Cleaf	R3T4r5Aleaf	R3T1r2Bleaf	R3T1r5Aleaf	R3T4r6Bleaf	R3T4r2Aleaf	R3T2r2Bleaf	R3T2r5Cleaf	R6T2r2Bleaf	R3T2r2Aleaf	R6T2r5Cleaf	V2T2r5Bleaf	R3T1r1Aleaf	R3T2r6Bleaf	V2T4r2Bleaf	R3T1r5Bleaf	R3T2r5Aleaf	V2T1r5Bleaf	R3T2r5Bleaf	V2T1r6Aleaf	R6T1r6Cleaf	V2T4r2Aleaf	V2T2r6Cleaf	R6T2r6Aleaf	V2T1r2Aleaf	R6T2r2Aleaf	V2T1r1Aleaf	R6T4r1Aleaf	V2T2r2Bleaf	V2T2r2Aleaf	R6T2r5Bleaf	V2T2r1Aleaf	R3T4r2Cleaf	R6T2r2Cleaf	R3T4r2Bleaf	R3T1r2Cleaf	R3T1r1Bleaf	R3T4r6Aleaf	R6T2r5Aleaf	R6T1r1Bleaf	R3T2r1Cleaf	V2T1r5Aleaf	R3T1r2Aleaf	R6T2r1Cleaf	R6T4r5Bleaf	V2T4r1Cleaf	R6T1r2Aleaf	R3T4r5Bleaf	V2T4r5Cleaf	R3T4r5Cleaf	V2T1r1Bleaf	R6T1r5Bleaf	R6T4r5Cleaf	R3T2r1Aleaf	R6T2r1Aleaf	R6T1r6Bleaf	V2T2r5Aleaf	R6T1r6Aleaf	V2T1r6Cleaf	R6T1r5Cleaf	R3T1r6Bleaf	V2T4r6Cleaf	V2T1r2Bleaf	R3T2r6Aleaf	R6T2r6Cleaf	V2T2r1Bleaf	V2T4r1Bleaf	R6T1r1Aleaf	R6T1r2Cleaf	V2T4r1Aleaf	R6T1r1Cleaf	V2T2r1Cleaf	R3T1r6Aleaf	V2T2r2Cleaf	R6T1r5Aleaf	V2T2r5Cleaf	V2T2r6Aleaf	R3T4r1Bleaf	R6T4r6Aleaf	NC1leaf
OTU_1212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_484	0	0	0	0	0	10	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	6	0	0	0	0	0	0	31	0	2	0	0	0	0	6	0	0	0	0	0	0	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5	0	18	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2149	6	6	0	8	14	2	13	3	7	14	4	18	3	1	4	0	4	2	6	28	27	2	4	7	8	9	10	28	1	0	3	17	1	14	9	8	7	13	30	12	2	0	3	13	7	3	27	4	21	5	16	1	9	0	1	1	0	9	0	3	3	15	1	33	0	13	6	2	6	5	6	8	2	0	7	6	6	10	1	13	8	6	1	3	0	7	10	7	2	2	5	8	0	7	2	9	4	5	3	0	0
OTU_278	0	0	15	6	26	47	11	9	0	64	106	4	1	0	27	0	1	0	18	48	3	0	2	24	43	2	40	67	17	4	0	63	3	56	47	12	13	13	10	25	11	0	0	131	14	9	10	15	1	0	9	0	22	1	0	0	2	1	50	50	17	13	2	27	25	157	1	24	0	10	20	8	103	0	8	137	0	1	0	19	6	7	4	0	18	47	0	3	7	11	0	0	12	0	0	18	0	0	0	0	0
OTU_1528	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_229	5	0	0	0	0	0	0	0	0	43	0	0	0	0	0	65	0	0	0	0	0	0	1	0	0	0	0	23	4	0	0	4	41	0	5	8	35	0	0	0	0	0	0	3	0	10	0	0	0	0	0	19	0	0	4	0	0	0	12	0	0	2	0	0	0	26	12	0	0	0	0	0	0	0	0	42	0	2	0	17	0	0	0	18	6	0	0	0	0	0	21	0	0	0	0	1	0	13	0	0	0
OTU_944	23	4	7	9	5	2	29	1	0	23	82	23	4	56	2	1	7	1	4	95	19	17	2	6	0	36	5	9	0	0	5	3	17	12	4	11	17	19	60	15	1	5	4	14	6	55	12	10	29	0	32	14	7	0	1	0	0	20	4	1	0	1	51	21	9	28	2	17	14	7	7	0	34	0	0	5	1	2	1	33	1	51	12	8	1	9	3	1	1	11	0	0	16	9	1	20	1	2	4	0	0
OTU_1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_191	26	7	0	0	3	0	0	0	0	17	0	0	0	0	31	0	0	32	17	0	1	20	0	0	35	0	0	0	0	0	0	70	0	107	1	0	39	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	49	28	6	5	0	4	4	2	3	0	0	0	0	0	0	0	41	76	0	0	0	0	0	0	0	0	2	0	0	2	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU_1907	0	0	1	0	0	0	16	0	0	0	2	2	11	3	1	0	10	0	0	25	1	0	0	0	0	1	7	1	0	0	0	0	0	8	1	1	4	14	7	23	0	0	0	9	1	0	0	0	9	0	29	0	0	0	0	0	0	0	0	0	0	0	1	5	3	7	0	1	0	0	0	0	20	0	0	0	0	0	0	0	4	9	0	0	0	2	0	0	1	0	0	0	3	0	0	2	2	0	0	0	0
OTU_85	0	74	22	0	77	5	18	0	22	0	32	50	0	0	48	0	14	0	15	241	203	83	45	0	72	13	0	0	0	0	0	76	5	93	4	236	72	20	32	0	0	67	166	110	27	74	9	0	107	0	60	70	4	0	3	0	0	35	0	3	0	40	129	14	56	40	79	175	0	0	0	0	43	0	0	0	50	15	0	54	0	62	12	154	0	2	289	0	0	41	0	5	38	68	0	8	27	64	6	2	0
OTU_139	0	0	0	61	0	9	62	27	0	0	0	23	4	10	0	0	16	48	5	29	0	29	11	0	0	0	15	37	0	8	14	51	6	110	8	85	0	9	87	0	0	0	0	8	0	0	57	76	56	14	16	0	0	20	13	0	0	14	0	6	4	0	3	21	6	83	84	19	21	0	0	14	190	0	0	26	0	7	17	45	42	20	27	34	13	102	0	0	18	0	0	0	3	21	0	13	0	0	9	1	0
OTU_2361	30	1	204	12	19	27	75	9	0	74	37	36	3	86	8	81	33	4	5	28	12	0	34	26	35	84	17	5	1	9	17	119	6	79	21	4	11	33	169	445	0	0	16	68	6	33	162	6	384	0	137	25	60	11	12	0	32	36	17	9	26	61	12	148	52	0	4	2	53	0	96	14	85	0	11	12	0	43	6	5	0	10	0	37	20	85	0	11	0	0	1	6	10	30	4	135	68	0	2	1	0
OTU_190	0	0	15	0	4	0	0	19	0	0	0	0	0	0	0	26	0	0	21	0	3	63	0	32	10	0	0	161	1	0	28	19	0	8	2	93	14	0	0	0	25	52	1	0	1	129	0	0	0	1	1	17	16	4	0	1	6	1	0	0	0	8	0	0	0	0	86	33	38	42	16	39	0	0	20	0	0	1	0	0	0	0	9	40	0	0	0	0	0	7	192	17	5	0	3	15	28	10	2	0	0
OTU_584	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	74	0	0	0	0	0	0
OTU_56	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	6436	0	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	0	0	0	7	0	0	0	0	0	0	0
OTU_270	88	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	47	0	0	0	0	17	0	0	7	9	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19	0	0	0
OTU_156	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	27	0	3	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	242	0	0	118	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0
OTU_153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	8	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	447	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	61	437	0	0	0	0	0	0	0	0	3	0	0
OTU_138	0	4	0	0	0	0	11	0	0	41	0	58	0	0	345	0	11	0	0	1	271	19	12	0	13	1	0	0	119	0	0	63	8	0	23	47	176	75	0	0	0	0	0	7	0	0	1	0	2	0	5	0	0	10	0	0	0	9	0	0	0	0	23	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	33	0	0	44	42	1	0	0	0	0	0	25	28	0	0	0	0	0	0	0
OTU_158	0	23	0	20	0	6	0	9	0	19	0	31	0	0	0	8	0	27	0	3	0	0	0	35	0	0	0	0	76	58	132	55	0	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	12	0	42	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	26	0	0	45	0	0	75	0	9	0	4	0	0	112	12	6	0	0	0	0	10	1	0	41	0	0	0
OTU_234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_803	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	2	1	1	1	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_557	0	15	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	58	0	10	0	0	0	0	14	16	7	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_301	0	0	0	64	9	0	1	0	0	0	10	0	11	6	0	0	0	0	0	5	0	0	0	0	0	0	14	43	0	0	0	0	0	0	0	0	0	0	26	0	0	0	42	14	5	0	0	0	0	0	8	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
OTU_181	25	0	47	0	66	0	0	0	24	0	0	0	0	0	0	0	0	0	32	0	0	0	25	0	6	0	0	0	0	9	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	29	16	45	0	40	236	0	2	0	0	0	0	27	0	0	0	0	4	0	0	0	10	16	51	0	0	6	0	0	0	1	0	43	0	1	3	0	24	0	7	0	0	0	16	0	0	0
OTU_125	0	8	0	24	5	118	0	34	0	14	2	0	0	3	14	0	0	72	3	0	0	0	31	198	8	0	2	11	100	77	60	14	10	46	16	0	4	0	0	1	44	22	17	7	20	44	0	303	5	29	0	10	41	27	76	30	81	12	2	22	41	13	0	2	1	0	21	2	10	208	27	71	3	0	70	1	6	16	89	24	51	1	6	15	35	0	0	38	101	0	111	15	0	5	32	2	14	0	0	0	0
OTU_69	0	4	553	153	46	1	44	40	0	416	38	21	5	15	2	76	184	17	352	28	9	15	16	55	5	15	3	151	66	49	38	65	11	652	10	13	0	3	346	46	111	35	330	51	3	10	221	56	40	2	21	154	76	7	15	44	13	0	19	124	10	5	1	99	0	10	0	26	37	18	615	22	137	0	55	141	0	0	40	7	59	43	35	106	19	314	0	17	0	0	0	2	14	2	12	0	61	0	5	0	0
OTU_68	9	0	49	13	4	3	74	0	0	0	75	225	41	104	9	0	41	0	0	822	470	0	0	0	0	93	51	0	2	1	0	0	0	6	0	0	54	119	170	70	0	0	29	147	7	7	73	0	312	0	75	0	7	4	0	0	0	11	6	0	2	4	250	50	232	380	0	6	3	0	0	0	81	0	0	0	0	0	1	4	0	476	16	8	2	103	0	2	0	0	0	0	464	11	0	57	10	4	0	16	0
OTU_577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_94	144	0	179	0	71	0	23	0	8	43	13	36	5	29	45	13	85	0	6	36	46	28	0	5	3	22	10	8	0	0	43	31	128	136	0	574	32	24	55	14	1	82	216	38	52	38	45	0	64	0	105	67	41	0	0	0	0	19	114	12	0	0	40	32	20	66	0	157	45	0	11	0	41	0	7	67	5	0	0	93	0	4	145	122	0	71	14	0	0	97	0	1	93	17	0	255	36	25	53	0	0
OTU_1149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
OTU_228	0	0	0	0	1	3	3	0	16	0	5	8	0	0	26	208	0	5	0	19	0	18	0	8	0	0	0	0	48	0	0	0	0	0	3	0	9	3	0	3	0	0	0	0	0	3	0	0	11	0	4	76	10	1	5	0	15	2	0	3	4	2	0	2	0	0	0	26	25	8	0	0	0	0	0	0	0	13	0	8	0	0	0	0	1	3	19	0	19	0	0	0	3	0	0	0	11	0	0	0	0
OTU_1943	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	36	0	0	0	0	0	0
OTU_2058	0	0	28	0	0	58	0	38	0	77	0	2	0	13	0	0	0	109	0	0	6	0	0	101	0	18	0	0	310	49	192	0	0	2	1	0	0	7	0	0	85	0	36	3	0	0	0	54	0	31	0	0	8	41	122	154	60	4	0	1	58	0	0	0	0	0	0	1	36	46	7	146	0	0	245	0	0	10	105	0	45	2	0	4	91	5	0	99	39	0	0	0	0	0	98	54	0	0	0	0	0
OTU_343	0	0	0	0	0	0	0	0	0	0	0	0	29	38	0	0	0	0	0	0	0	0	0	0	0	0	17	62	0	0	0	0	0	0	0	0	8	22	0	0	0	0	0	0	20	3	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	9	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU_154	0	11	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	98	40	0	0	0	0	54	60	0	0	0	81	74	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	5	0	0	0	0	0	1	1	0	7	0	0	0	7	0	0	0	0	0	7	0	0	74	0	137	0	0	9	0	17	3	0	55	0	0	0	8	30	0	0	18	12	0	58	0	0	0	108	0	0	0	0	0	0
OTU_132	7	19	270	99	56	7	3	23	11	0	11	2	70	33	0	103	0	0	6	104	1	13	0	0	0	54	0	0	0	10	0	9	0	17	16	0	0	19	6	49	0	0	26	48	0	0	1	0	82	0	3	38	95	0	0	18	1	0	34	0	0	13	106	12	134	0	27	0	8	0	48	3	128	0	9	9	0	61	0	4	0	85	5	50	0	100	0	12	0	0	0	0	105	39	0	242	22	0	3	0	0
OTU_443	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	36	0	0	5	4	0	0	0	0	5	0	0	0	0	0	0	44	18	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0
OTU_445	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0	0	16	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	18	0	0	0	0	6	0	0	14	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
OTU_110	0	0	0	57	0	5	11	28	0	27	34	98	23	5	71	2	7	124	0	2	8	0	0	58	0	0	48	0	22	124	216	22	11	0	0	0	40	1	13	23	19	0	17	70	3	0	0	154	51	8	10	150	47	43	21	43	36	14	0	6	69	0	0	0	0	35	0	14	3	59	27	11	14	0	10	0	0	0	15	0	59	1	6	3	33	60	0	62	187	0	0	0	1	0	9	0	6	0	0	0	0
OTU_267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	306	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1695	0	20	0	0	11	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	205	0	0	85	0	12	0	0	15	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	23	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	55	62	0	0	0	0	0	0	0	0	0	2	0	0	22	0	0	0	0
OTU_546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_391	7	0	0	29	0	9	0	15	0	0	0	0	0	0	0	0	0	2	13	26	7	0	10	9	0	4	0	0	14	11	0	0	9	0	2	0	0	0	0	6	0	175	0	10	3	9	0	10	7	0	0	0	9	1	0	5	8	0	0	1	0	13	0	0	0	0	0	33	0	0	9	0	15	0	0	0	11	10	2	8	0	2	0	53	4	6	0	2	11	0	0	2	0	10	0	7	14	0	0	0	0
OTU_84	0	0	0	0	255	0	0	0	0	6	1	193	0	126	0	107	0	0	40	192	3	0	29	0	7	92	20	0	0	0	49	36	23	33	6	88	2	6	6	11	0	0	41	259	37	5	25	0	0	0	34	0	6	0	0	0	5	480	25	3	0	10	2	66	291	0	3	0	3	0	8	13	341	0	0	0	0	5	0	5	0	285	0	27	0	27	166	0	0	8	0	4	1	19	0	241	0	0	3	2	0
OTU_893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_137	0	0	976	0	0	0	0	0	0	0	16	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	270	0	0	0	0	0	0	31	0	0	0	0	0	2	0	0	0	37	0	0	0	7	101	0	9	0	0	0	0	1	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	14	194	0	0	0	0	0	0	8	0	0	3	0	0	0	0	0
OTU_1357	0	0	0	48	0	0	0	1	0	0	0	0	0	5	0	0	0	0	3	0	0	0	4	0	17	0	0	0	16	0	0	55	0	0	44	0	0	0	3	0	0	35	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	4	0	0	0	0	19	0	0	14	8	15	8	0	4	0	49	4	8	22	0	0	0	0	0	0	0	0	0	11	4	0	0	1	0
OTU_162	24	0	0	0	3	1	0	51	0	0	8	0	0	0	0	0	0	0	7	46	26	0	54	0	37	61	173	0	0	3	0	0	22	0	10	0	0	4	0	14	6	0	8	5	0	0	0	0	0	0	0	0	6	2	8	0	34	32	17	2	10	0	0	0	0	0	0	26	0	0	0	0	0	0	13	19	0	28	1	15	0	0	0	58	5	0	0	0	11	0	0	26	0	12	14	0	10	0	0	0	0
OTU_187	0	0	92	0	0	4	0	7	18	0	5	0	5	1	0	0	0	19	1	0	0	0	6	66	0	0	0	0	9	5	0	0	0	0	0	49	0	6	0	0	5	0	0	0	0	0	0	103	0	4	0	0	13	0	4	6	7	0	0	0	5	4	0	0	0	0	0	10	21	15	3	39	0	0	14	0	0	0	2	4	0	0	0	0	7	0	0	15	56	0	32	0	0	0	0	0	70	0	0	0	0
OTU_169	46	0	0	0	7	0	0	10	0	0	0	0	0	0	0	0	0	1	6	0	0	51	50	0	0	1	0	0	30	3	0	0	0	0	83	0	0	2	0	0	0	0	0	0	46	0	3	81	0	2	0	0	0	1	0	10	0	4	0	23	0	116	0	0	0	0	0	0	0	27	0	0	0	0	12	0	87	0	0	0	0	0	0	0	0	0	7	0	0	47	63	26	0	8	0	0	0	11	35	0	0
OTU_495	0	0	0	0	0	34	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	6	0	0	0	0	9	0	25	0	73	0	0	0	106	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	63	0	3	0	0	0	5	0	0	30	0	0	0	0	0	0	19	0	0	0	0	0	0
OTU_141	0	0	50	7	105	11	0	9	0	9	8	36	0	0	1	10	0	13	19	0	0	9	0	22	63	3	0	0	27	0	0	3	0	0	3	22	10	0	0	4	7	0	3	0	0	5	0	52	0	6	0	43	0	17	41	38	29	0	0	12	97	0	0	0	0	0	1	25	9	52	5	12	15	0	9	2	0	0	59	8	10	0	6	39	13	0	36	65	12	30	5	4	1	1	0	0	0	0	0	0	0
OTU_1905	0	0	0	15	0	16	0	9	0	0	3	5	0	0	0	72	2	368	0	0	4	0	0	0	0	0	0	0	76	135	46	52	0	0	0	68	0	4	7	0	4	0	0	1	10	0	0	121	0	127	5	0	0	25	36	46	0	0	0	4	8	6	0	0	13	0	0	9	5	38	1	7	0	0	35	7	0	6	21	2	24	6	0	3	38	0	0	16	109	5	29	0	0	4	0	0	0	0	0	0	0
OTU_237	10	17	28	59	1	45	11	29	8	209	5	0	0	7	22	72	0	48	31	0	1	0	26	57	211	1	22	398	53	11	74	163	17	96	22	162	34	0	95	66	42	11	110	69	0	149	12	68	0	13	19	56	239	120	440	16	26	53	1	43	7	16	3	44	0	0	235	6	96	16	368	19	112	0	15	53	0	7	36	80	12	17	5	514	21	0	15	25	4	2	1	18	5	6	18	1	168	0	14	0	0
OTU_203	0	0	0	0	0	61	0	20	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	8	4	0	0	0	23	50	0	8	0	0	0	4	0	0	0	0	0	0	0	0	0	0	29	0	0	5	0	0	0	76	0	48	0	0	0	87	0	0	11	35	5	14	0	3	7	0	0	0	0	0	0	0
OTU_180	0	0	0	0	35	0	81	0	0	0	7	5	17	47	0	0	9	0	0	3	5	0	0	0	0	4	0	0	0	0	0	0	0	15	0	0	0	6	5	2	0	0	0	10	1	0	38	0	0	0	8	0	0	3	0	0	0	0	0	0	0	25	7	17	20	0	0	6	0	1	0	0	13	0	0	0	0	0	0	0	0	7	0	0	0	291	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
OTU_1369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
