OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1866	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Lentitheciaceae_1	Keissleriella_1	Keissleriella taminensis 
OTU_1867	Fungi_1	Chytridiomycota_1	Rhizophydiomycetes_1	Rhizophydiales_1	Rhizophydiaceae_1	Rhizophydium_1	
OTU_1868	Fungi_1						
OTU_1869	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1			
OTU_1870	Rhizaria_1	Cercozoa_1					
OTU_1871	Fungi_1						
OTU_1872	Fungi_1	Ascomycota_1	Sordariomycetes_1	Sordariales_1	Chaetomiaceae_1	Podospora_1	
OTU_1873	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1		Chalara_1	
OTU_1874	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Neosetophoma_1	
OTU_1875	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1	Helotiaceae_1	Hymenoscyphus_1	
OTU_1876	Fungi_1						
OTU_1877	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1		
OTU_1878	Fungi_1	Basidiomycota_1	Cystobasidiomycetes_1		Symmetrosporaceae_1	Symmetrospora_1	
OTU_1879	Fungi_1	Ascomycota_1	Arthoniomycetes_1	Lichenostigmatales_1	Phaeococcomycetaceae_1	Phaeococcomyces_1	Phaeococcomyces kinklidomatophilus 
OTU_1880							
OTU_1881	Fungi_1	Ascomycota_1	Sordariomycetes_1	Xylariales_1	Diatrypaceae_1	Peroneutypa_1	
OTU_1882	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Paraphoma_1	
OTU_1883	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Dictyosporiaceae_1	Pseudocoleophoma_1	Pseudocoleophoma polygonicola 
OTU_1884	Fungi_1	Ascomycota_1	Sordariomycetes_1	Diaporthales_1	Diaporthaceae_1	Diaporthe_1	Diaporthe monetii 
OTU_1885	Fungi_1	Ascomycota_1	Dothideomycetes_1	Myriangiales_1	Myriangiaceae_1	Myriangium_1	
OTU_1886	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Cladosporiaceae_1	Rachicladosporium_1	Rachicladosporium pini 
OTU_1887	Fungi_1	Ascomycota_1	Dothideomycetes_1	Mycosphaerellales_1	Mycosphaerellaceae_1	Ramularia_1	
OTU_1888	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Onygenales_1			
OTU_1889	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Didymellaceae_1		
