#OTU ID	R3T1r5Bstem	R6T2r2Astem	R6T2r2Cstem	V2T2r5Cstem	V2T4r6Cstem	R6T4r5Cstem	R3T4r1Cstem	V2T2r1Cstem	R6T2r5Cstem	R3T1r6Astem	V2T1r2Astem	R6T4r1Astem	R3T1r6Bstem	R3T1r2Astem	R6T1r2Astem	R6T2r1Cstem	V2T1r5Bstem	R6T1r5Bstem	R6T1r6Astem	R6T1r1Cstem	R3T4r2Bstem	R3T1r1Astem	R3T4r5Cstem	V2T1r5Astem	R6T2r6Bstem	V2T1r1Cstem	R6T1r2Cstem	R3T4r5Astem	R3T4r6Cstem	V2T4r5Bstem	R3T2r5Bstem	V2T4r6Astem	R6T1r5Astem	V2T4r2Bstem	R6T2r5Astem	R3T2r2Cstem	V2T2r6Cstem	R3T4r1Astem	R6T2r5Bstem	R3T2r5Astem	R3T1r1Cstem	V2T2r6Bstem	V2T2r2Astem	R3T4r2Cstem	R3T2r1Cstem	R3T4r5Bstem	R3T1r5Cstem	R6T1r6Cstem	R3T2r1Bstem	R3T4r2Astem	R3T2r6Cstem	V2T1r6Cstem	V2T1r2Bstem	R3T2r6Bstem	R6T1r1Astem	R6T1r1Bstem	V2T4r1Bstem	R3T2r1Astem	R3T2r5Cstem	R3T4r6Bstem	R3T1r6Cstem	R6T2r2Bstem	R3T2r2Bstem	V2T1r1Astem	V2T2r5Bstem	R3T1r2Bstem	R6T1r5Cstem	R6T1r2Bstem	R3T4r6Astem	R3T1r1Bstem	V2T2r6Astem	V2T4r5Astem	R6T2r6Cstem	R6T2r1Astem	R6T4r5Bstem	V2T2r1Astem	R3T1r5Astem	V2T4r5Cstem	V2T4r2Cstem	V2T1r1Bstem	R3T2r6Astem	V2T4r6Bstem	R3T4r1Bstem	NC1stem	R3T2r2Astem	R3T1r2Cstem	V2T1r6Bstem	V2T2r5Astem	V2T4r1Astem	V2T1r2Cstem	V2T2r2Cstem	V2T4r2Astem	R6T2r1Bstem	V2T4r1Cstem	R6T2r6Astem	V2T2r2Bstem	V2T2r1Bstem	R6T1r6Bstem	V2T1r5Cstem	V2T1r6Astem	R6T4r6Astem
OTU_234	29	0	37	0	0	0	0	0	0	192	0	2	0	0	0	0	0	0	8	0	48	0	0	0	0	0	0	0	3	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
OTU_19	0	1831	0	802	1179	0	22	1	0	0	0	226	111	90	463	7319	11	463	0	0	562	0	0	80	42	2396	605	294	231	99	145	0	33	251	0	0	104	0	283	72	25	27	85	129	588	0	0	0	628	61	0	6643	0	0	11	0	0	1	0	181	116	0	207	0	0	43	0	272	0	0	0	142	0	0	1	186	0	117	1	0	0	143	1	0	135	1	0	72	87	0	0	0	0	0	0	0	0	0	0	0	0
OTU_21	55	56	252	3	336	0	1158	319	190	276	158	284	134	47	0	81	102	58	556	19	1479	0	0	100	58	244	4	950	202	88	22	43	0	730	169	399	122	1420	185	141	35	73	280	941	425	0	298	1	390	222	0	0	519	2	0	221	80	677	338	1838	33	50	0	83	133	154	688	597	0	0	161	868	486	613	61	17	1	184	176	186	47	0	0	0	0	104	34	116	0	0	85	55	1	1	0	78	197	62	2	1	0
OTU_5	595	1216	0	20723	1	0	1062	285	1206	0	694	62	20197	684	33727	4563	202	47	4	0	2	0	0	462	2605	0	294	0	142	3361	62	0	1853	0	0	0	125	339	9515	151	953	2816	83	89	3176	0	1406	0	2	274	0	2	18	1	1	0	0	0	0	1686	1658	0	157	0	0	0	2	2	1	470	0	2309	0	0	0	146	0	4	0	3	0	0	2383	2	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0
OTU_2	265	133	194	163	2520	1	5320	8835	8519	612	11969	16138	517	213	35	4386	8	2319	43	15071	2729	20	137	4059	5221	36015	20981	8982	646	10	199	0	555	591	4802	679	664	2	11945	2481	3633	7028	761	1602	16643	999	0	890	369	59	119	141	611	4418	3	24	3	472	224	3865	234	247	0	126	1396	203	1293	0	100	0	144	3692	419	0	1201	1	157	329	1	1	0	539	340	36	308	29	1194	2078	141	421	1	579	863	230	503	193	65	51	126	3	6
OTU_8	0	0	198	656	0	42671	247	28	35	156	0	6	0	5	0	17	0	35	1208	1597	286	0	1	22	455	1030	0	3782	15	9	0	63	0	302	0	248	37	1	0	0	58	23	0	0	787	0	645	0	234	132	0	0	28	1290	0	0	518	45	0	23	0	67	230	2	0	235	111	0	0	1	0	8	33	436	2	143	0	43	0	0	0	326	0	0	0	221	1328	117	1	0	0	0	57	0	285	3	0	79	2	8	17
OTU_4	0	779	2	1509	1	1	10669	34	0	47786	2	741	379	744	0	176	49	36	1	0	0	1	24567	6451	101	63	0	1	6135	10580	452	1	52	1	197	3612	54	0	1	6195	138	523	1091	73	143	5741	263	1	0	1348	0	1	191	323	1	0	0	1	1	316	70	0	0	2	1	0	0	1	0	1155	37	281	0	0	0	3128	0	0	1577	0	2	0	0	0	0	0	0	0	0	0	1	1	0	4	0	2	0	0	0	1	1
OTU_3	0	1392	243	595	205	0	2792	71	24913	0	46354	33	199	998	2	995	0	165	4232	674	33880	2904	1	267	96	3199	1	1	257	163	1	75	0	0	0	0	73	0	0	481	72	132	12	1805	133	2803	1	2	960	2842	236	3	64	0	2322	0	1	244	234	25	99	554	1	16	0	2069	0	554	10836	1	0	14	240	0	1	0	1	793	0	6	269	3	2	0	0	304	2	211	154	224	774	0	306	0	0	77	1	0	89	0	1
OTU_10	0	939	9	17	1	0	294	25	0	0	201	496	467	3930	0	43	57	62	1	30	36	0	0	425	16	444	4313	311	6083	32	373	0	1	0	0	0	289	0	0	277	495	15500	3472	0	0	0	0	0	0	1013	0	0	0	1	1	0	0	1	0	635	1299	0	0	0	0	0	0	23	0	0	0	2707	514	0	153	0	15	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	358	2	0	0	0	0	0
OTU_17	0	152	1	0	326	0	56	49	891	35	553	234	499	7974	159	7	5611	682	26	0	73	0	971	36	451	0	1	0	718	94	7246	30	0	0	0	0	380	1	2055	402	208	4498	97	0	1	0	0	1	1	285	0	0	232	0	0	0	1	0	0	155	1457	0	0	0	0	0	0	0	0	0	0	136	0	0	151	153	1	0	0	0	0	0	1	0	0	0	0	68	0	0	0	0	0	0	0	0	0	1	0	1	3
OTU_6	0	602	0	8124	0	0	104	187	5979	0	1039	513	111	2495	2355	2018	813	430	1	0	69	149	253	6	244	0	0	0	662	1	1544	0	64	8259	0	11	112	1	10792	497	203	210	103	1	0	383	0	0	1	53	314	410	0	0	0	0	0	216	1	504	1859	428	1284	98	96	180	0	294	0	0	0	2234	1	3472	210	970	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	2	0	0	0	0	1
OTU_69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_62	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2229	0	0	0	0	124	0	103	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	457	0	0	0	0	0	0	0	0	340	0	0	0	491	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	48	0	0	0	0	0	36	0	0	0	0	0	0	0	0	3	0	0	12	1	0
OTU_7	0	2086	9	2560	262	0	5131	323	4106	646	2805	1757	1061	289	70	2796	519	249	1023	914	3167	236	178	422	255	273	956	1547	911	270	275	33	803	2453	440	11	757	79	5441	1659	1082	247	1042	1084	1691	26	273	73	78	1197	181	0	1164	960	0	0	252	914	64	1168	168	324	655	28	28	1295	137	979	0	0	90	634	668	95	46	29	44	858	265	54	311	920	0	1	426	2384	562	99	414	182	254	0	18	51	1	23	77	1	9	31	1
OTU_1	48	11528	769	4117	419	0	25147	2761	3727	2404	8725	6003	4720	3319	614	12767	2907	3041	11721	1374	3878	1030	274	3678	1689	8826	1234	4513	8112	3586	8832	110	1686	4425	478	7	2190	214	10772	5749	3859	2340	7421	1741	1653	154	1062	97	1719	9979	53	0	2279	703	208	533	1064	1895	161	5689	9682	509	0	89	113	2710	299	2184	1797	331	367	4718	4528	1321	2677	638	428	645	305	1	1172	2582	508	0	1498	3152	408	210	399	1050	347	103	195	531	349	45	144	5	3	1	17
OTU_16	0	2606	520	2003	72	0	5935	678	6363	0	307	160	350	568	99	766	4024	1206	1469	752	1926	77	396	497	974	2073	0	826	6505	218	1204	223	0	712	0	27	3184	192	2520	2680	895	884	2454	331	158	239	112	1	838	2538	413	0	1741	202	0	2278	76	79	319	12267	233	121	332	11	150	247	118	82	0	0	0	781	1611	63	167	71	677	139	237	121	264	45	12	1	648	0	276	139	86	1	0	169	1	13	0	34	22	0	60	7	9
OTU_28	0	171	0	0	0	0	591	31	0	0	28	0	1594	1	0	124	0	3	0	0	0	0	0	0	4	0	0	0	1582	9	150	0	0	157	0	0	32	0	0	2	90	10	48	0	0	0	0	0	0	215	186	0	0	0	0	0	0	0	0	44	5470	0	0	0	0	0	0	0	0	0	0	3762	0	0	133	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
OTU_51	0	470	0	9	0	0	149	110	271	0	0	56	45	256	0	116	229	787	0	0	151	104	0	28	53	0	0	142	1002	62	324	0	0	0	0	0	354	0	327	49	116	99	491	0	0	0	169	0	0	112	0	0	170	0	0	0	406	0	0	138	92	0	0	1	0	2	0	58	0	0	0	112	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	1
OTU_11	0	0	0	0	154	0	6	53	8095	0	28119	9	62	0	0	35	3	0	1	0	404	1290	139	480	7	0	76	1498	5	0	4	0	0	1121	1	92	3	2	582	25	14	16	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	11	0	0	0	759	0	0	16	0	0	0	85	0	0	0	0	0	0	1	0	407	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
OTU_9	0	16	0	0	152	50363	0	13	0	200	39	593	0	48	0	0	16	0	0	338	344	0	0	0	4	488	1	113	30	1	2	0	0	0	1	0	0	0	116	4	0	0	171	1	0	37	40	0	0	0	0	1	81	0	0	0	26	97	0	53	100	304	39	0	1	5	746	283	0	0	10	16	80	21	0	0	117	0	12	0	0	220	0	152	0	0	0	0	0	5	0	0	0	2	229	0	3	0	0	0	31
OTU_64	0	3	0	0	0	0	52	0	0	169	0	0	20	102	0	75	0	0	0	40	0	0	0	0	7	87	106	0	263	0	267	0	0	0	0	0	0	0	0	7	11	0	105	788	0	0	0	0	580	45	0	0	166	0	0	0	317	0	0	17	0	88	0	0	0	1	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24	0	180	0	17	244	0	128	41	0	1	0	208	76	39	0	157	1776	54	35	434	0	0	0	95	460	16	223	1	2923	0	95	0	7	0	36	0	884	14	150	69	426	152	3364	0	0	0	0	0	0	268	0	0	50	48	0	0	0	0	0	3041	0	0	0	0	0	0	0	0	25	0	0	258	6885	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	92	0	0	0	20	0	0	0	12
OTU_31	0	193	0	0	0	0	0	0	0	0	0	42	0	0	0	33	19	14	298	466	93	0	0	4	105	6588	371	1393	4	0	0	0	0	0	0	0	35	0	0	97	0	30	5	0	2515	0	0	0	0	0	0	1	0	205	0	0	0	288	0	55	0	0	0	0	0	0	0	0	0	0	0	31	86	0	0	0	154	0	0	0	0	235	0	0	0	48	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_46	0	3	0	0	0	6137	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	5	135	16	0	0	0	222	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	50	0	0	105	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	18	0	0	0	0	0	0	0	11	0	0	0	0	0	0	2
OTU_195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_63	0	0	16	0	0	0	5	0	0	0	578	4	0	1	0	44	0	0	0	0	2017	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	109	0	0	0	0	20	0	0	0	0	0	196	0	0	131	0	0	0	628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	10	0	0	1	0	0	0	0	0	40	0	14	1	0	0	0	19	0	0	14	0	0
OTU_111	0	10	0	0	190	0	0	0	0	0	41	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	380	0	0	0	0	0	83	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	249	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_30	0	205	958	386	0	0	30	7	1322	54	347	514	26	32	0	10	126	1408	266	0	0	89	0	7	10	987	0	286	314	6	155	0	0	1990	0	0	201	0	229	29	4	13	405	9	101	0	426	0	450	36	0	0	65	0	0	0	0	0	0	19	148	0	0	0	0	62	0	0	0	0	0	29	327	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
OTU_45	0	0	0	0	500	0	32	0	1	0	2812	137	0	0	0	0	0	0	1	37	4763	1	0	0	1	25	0	404	0	0	0	0	0	275	0	842	0	0	0	0	0	0	4	0	222	0	0	0	0	0	0	0	1	147	0	0	0	77	0	10	0	79	0	0	0	0	0	0	0	693	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	25	0	0	6	1	0
OTU_57	0	13	404	567	0	0	3	0	574	159	134	154	0	0	0	0	19	7	22	0	0	0	0	17	12	210	0	0	40	0	46	0	24	0	0	462	27	0	0	0	21	0	27	0	144	0	1	1	454	31	0	0	15	0	0	0	67	0	0	0	137	0	0	0	0	0	0	0	409	0	1	2	416	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	2
OTU_14	90	193	1354	647	175	0	169	182	792	426	664	42	119	22	0	532	16	218	1884	17	1414	0	309	51	16	1494	234	876	541	25	81	1	0	425	1003	158	153	32	781	121	224	51	226	1244	739	237	390	0	1955	152	86	0	779	25	28	101	1331	628	117	485	41	1233	35	51	41	949	205	1026	316	25	0	95	120	532	178	0	30	765	55	52	442	0	0	0	0	2115	261	185	83	180	819	0	0	207	114	5	82	1	27	11	0
OTU_65	0	0	0	698	0	0	5	0	0	0	440	604	15	26	0	0	0	28	0	160	0	0	0	0	2	23	176	179	22	0	8	0	0	4213	0	0	17	0	0	8	0	1	0	0	342	0	0	0	0	0	0	0	621	0	0	0	0	0	0	34	0	0	0	0	0	0	1	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_33	0	6	408	0	64	0	33	1	0	1	75	5	0	0	0	0	0	0	0	0	7169	0	0	0	0	57	0	0	0	0	0	149	0	264	0	0	0	0	0	0	0	0	0	457	0	94	258	0	295	0	0	0	0	0	51	0	0	199	0	0	0	0	0	2	0	0	0	0	1	0	0	30	0	0	0	0	1	16	1	0	0	0	0	0	0	0	0	584	60	0	42	0	0	0	0	85	0	0	84	0	0
OTU_44	0	0	0	308	0	0	7	0	0	0	37	0	0	0	0	0	0	0	0	0	5925	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	110	0	0	0	1	52	0	0	0	0	0	37	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	37	0	54	0	0	0	0	0	0	0	0	0	0
OTU_15	0	1163	0	3990	162	0	1094	589	86	0	519	92	178	145	14	2194	565	102	472	839	1040	46	0	99	891	1731	0	1067	2866	14	114	0	0	437	0	0	2164	16	344	149	1767	312	1494	64	54	0	0	0	271	1909	13	0	24	442	0	209	233	29	105	393	25	25	0	0	0	0	0	0	0	0	0	181	4590	1	0	0	0	0	166	0	0	0	0	0	197	0	0	0	0	0	83	0	0	0	0	0	0	0	13	0	16
OTU_121	0	0	0	0	0	0	4	0	0	0	1	5	0	0	0	0	0	12	0	51	0	0	0	0	0	832	108	1	0	0	0	0	0	0	0	0	7	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1038	0	0	0	3	0	0	0	0	0	0	1	6	0	0	0	0	52	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_144	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	13	0	0	34	0	0	0	0	2	172	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_817	8	91	197	433	13	0	488	0	6	72	2	116	292	29	0	537	64	1	4	338	4	7	0	10	6	1	570	6	119	95	62	13	4	50	589	4	44	12	91	246	49	150	211	336	341	1	5	2	4	44	0	11	3	207	6	6	3	49	5	405	33	36	10	0	0	2	12	91	67	1	133	46	3	135	7	153	8	90	18	0	75	9	0	0	3	4	2	1	48	8	70	6	1	136	0	17	3	54	3	0	0
OTU_26	0	62	106	36	87	0	112	570	0	0	142	1867	104	202	94	475	29	2217	0	694	417	0	0	119	258	744	79	1035	131	0	0	0	0	0	0	0	463	0	1619	98	204	230	89	0	0	0	0	0	43	9	0	1	0	288	0	0	1886	0	191	173	0	0	1	0	0	174	21	0	0	0	0	21	1	0	0	247	1	1	0	0	0	299	1	0	0	0	69	1	84	0	0	0	0	0	946	0	0	0	7	0	1
OTU_56	0	38	0	1439	0	0	60	0	0	0	1464	527	31	40	0	27	190	186	0	0	0	0	63	0	53	0	0	0	55	81	263	0	0	0	0	0	42	0	0	1	26	0	156	0	0	0	0	0	0	132	0	0	122	0	0	0	0	0	0	11	20	0	346	0	0	0	1	43	0	0	0	6	0	0	38	522	0	0	0	0	0	0	0	0	0	0	0	24	307	0	0	0	0	0	0	0	0	0	0	0	0
OTU_374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_50	0	0	0	0	0	5573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	4829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	89	0	121	1	0	0	0	153	0	0	0	0	406	0	106	0	0	294	0	0	0	0	0	0	0	0	0	117	0	1	0	0	0	0	0	21	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0
OTU_460	3	0	70	108	0	0	0	0	29	11	1	0	1	0	0	0	0	0	18	6	140	0	16	0	0	1	0	0	0	0	1	0	0	15	84	1	1	0	0	0	1	1	1	78	0	0	118	0	0	1	0	0	0	0	0	34	123	13	0	2	0	0	0	0	0	42	15	0	0	0	0	0	0	5	0	3	0	33	2	14	49	0	0	0	0	3	0	0	0	7	0	4	0	0	1	0	29	0	2	8	0
OTU_40	0	7	269	231	54	0	104	97	0	61	133	40	8	0	6	22	0	156	321	366	926	0	23	7	155	3106	375	0	6	0	2	35	0	2	0	123	40	0	287	8	212	16	2	5	442	0	0	457	0	0	77	0	12	274	0	41	437	121	565	31	0	0	0	0	338	0	5	0	8	0	1	21	0	274	207	0	135	6	0	0	0	164	1	164	110	0	477	1	0	0	77	3	35	88	16	17	131	0	8	16	4
OTU_48	0	0	0	333	0	0	18	0	0	0	0	28	0	0	0	0	0	0	237	0	528	0	0	24	0	0	0	308	1	1	0	0	0	174	0	0	12	0	0	0	0	20	0	223	408	0	0	0	3360	1	0	0	0	0	0	0	0	335	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	1	0	180	0	0	0	0	0	0	117	0	0	0	74	0	172	0	0	0	0	0	0	0	0	0	0
OTU_42	56	262	0	430	0	0	122	47	355	0	0	32	8	0	0	0	0	272	0	0	0	0	0	0	8	0	0	0	9	0	0	0	0	0	381	0	4	0	929	5	0	3	33	3958	0	0	0	0	0	0	0	0	6	316	0	0	1	0	0	42	0	0	1110	0	0	0	0	0	0	0	0	4	0	0	0	1	0	70	0	0	0	0	1	0	66	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0
OTU_1042	0	11	0	0	0	0	19	1	0	0	0	0	6	0	112	4	0	94	0	1	576	0	142	0	31	27	46	0	0	0	0	0	0	90	0	1	0	0	0	1	20	12	15	50	185	0	0	0	0	1	154	0	74	0	0	0	710	0	1	0	1	30	0	0	0	0	159	0	84	0	14	9	0	0	176	0	544	0	0	0	0	0	0	73	397	0	392	0	0	0	54	174	0	0	0	40	0	0	0	0	0
OTU_12	52	1280	0	19	0	0	12335	670	0	120	13094	138	760	256	204	1072	462	365	0	0	0	0	0	3016	1656	695	0	0	768	778	193	0	0	0	0	19	405	1	1375	944	551	519	1010	0	0	0	523	0	55	494	0	0	208	0	0	0	0	0	0	1009	168	0	0	0	71	2	0	157	0	0	162	277	553	438	99	22	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	1	1
OTU_35	0	1	0	0	0	0	0	3	57	145	136	190	0	0	0	0	0	9	560	0	5356	0	0	26	0	75	0	0	101	28	1	0	0	0	2	230	5	1	162	0	5	2	0	0	0	53	0	0	110	0	0	0	0	389	411	0	0	592	54	6	0	223	0	4	0	873	0	0	0	0	0	0	147	0	0	0	0	533	0	0	3	0	0	0	0	0	0	32	0	29	127	0	0	0	0	21	0	0	3	0	1
OTU_38	147	13	0	0	178	0	22	0	0	0	1097	185	0	4	0	32	0	27	1	0	2416	0	0	3	0	559	0	0	37	0	0	0	0	155	0	0	0	0	687	0	6	1	7	0	843	0	0	1	470	5	0	1	0	273	0	0	0	732	0	0	1	85	0	1	0	0	0	0	0	0	0	17	0	0	0	0	38	0	0	0	0	0	0	0	0	139	0	0	1	0	0	0	76	0	0	5	0	0	0	0	0
OTU_989	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1751	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_55	0	0	0	1	0	0	3	0	0	0	0	19	10	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_22	202	351	0	4517	776	0	136	14	322	417	495	747	17	20	68	45	56	17	380	0	726	0	0	26	0	621	78	0	117	188	121	0	0	1605	0	0	73	30	282	6	39	54	87	247	600	0	0	0	1695	82	0	0	391	0	32	0	0	31	0	62	17	319	0	24	0	54	0	1	0	58	73	135	0	30	0	142	0	149	0	0	268	0	0	0	0	1155	0	503	0	878	0	0	427	0	0	0	16	0	0	0	0
OTU_59	27	0	0	0	243	0	19	3	0	0	0	0	0	0	0	4	0	0	0	0	1840	0	0	15	5	0	0	0	0	0	0	0	0	56	0	0	1	0	381	7	6	0	0	120	0	0	0	0	812	0	0	0	0	0	0	0	0	199	36	0	0	572	0	40	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	6	0	0
OTU_1019	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_34	0	93	0	366	153	0	314	66	1791	0	255	6	5	25	0	24	0	155	342	107	173	486	132	32	159	76	0	0	129	0	10	0	0	121	0	0	218	0	467	23	147	11	48	0	0	12	0	0	0	14	94	0	1084	0	31	554	0	254	0	321	0	91	0	20	0	1	0	151	0	0	0	14	482	705	0	130	0	518	0	0	0	0	0	0	0	112	0	0	107	0	0	0	0	0	0	1	0	0	0	0	1
OTU_13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38146	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	61	0	0	65	0	0	0	0	0	0	0
OTU_75	0	40	140	0	0	0	28	14	0	0	0	52	17	0	0	33	13	40	0	0	1	0	0	102	7	0	157	0	22	0	10	37	0	0	206	0	29	0	453	6	26	17	10	0	461	0	0	0	0	3	1	0	13	0	0	0	89	230	0	34	8	18	0	2	0	0	0	0	0	0	100	64	117	0	0	104	244	0	1	0	1	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
