jrk_template	Phylum	Class	Order	Family	GENUS	primary_lifestyle	Secondary_lifestyle	Genus	
jrk11009	Ascomycota	Dothideomycetes	Asterinales	Asterinaceae	Pycnocarpon	epiphyte	litter_saprotroph	#N/A	#N/A
jrk11010	Ascomycota	Dothideomycetes	Asterinales	Neobueliellaceae	Neobueliella	lichen_parasite		Vishniacozyma	soil_saprotroph
jrk11028	Ascomycota	Dothideomycetes	Muyocopronales	Muyocopronaceae	Neocochlearomyces	plant_pathogen		Hannaella	animal_parasite
	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Anthodidymella	wood_saprotroph		Alternaria	plant_pathogen
	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	Aquimassariosphaeria	wood_saprotroph		Tilletiopsis	plant_pathogen
jrk11044	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	Neolindgomyces	litter_saprotroph		Hannaella	animal_parasite
jrk11061	Ascomycota	Dothideomycetes	Pleosporales	Longiostiolaceae	Crassiperidium	wood_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Aquihelicascus	wood_saprotroph		Didymella	plant_pathogen
jrk11049	Ascomycota	Dothideomycetes	Pleosporales	Parabambusicolaceae	Paratrimmatostroma	litter_saprotroph		Bullera	unspecified_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Arezzomyces	wood_saprotroph		Vishniacozyma	soil_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Dlhawksworthia	wood_saprotroph		Hannaella	animal_parasite
jrk11053	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Hydeomyces	wood_saprotroph		Papiliotrema	mycoparasite
jrk11057	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Piniphoma	wood_saprotroph		Neoascochyta	plant_pathogen
jrk11059	Ascomycota	Dothideomycetes	Pleosporales	Pleomonodictydaceae	Pleohelicoon	litter_saprotroph		Symmetrospora	epiphyte
jrk11060	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Typhicola	litter_saprotroph		#N/A	#N/A
jrk11063	Ascomycota	Dothideomycetes	Pleosporales	Shiraiaceae	Rubroshiraia	plant_pathogen		Hannaella	animal_parasite
	Ascomycota	Dothideomycetes	Pleosporales	Sulcatisporaceae	Anthosulcatispora	wood_saprotroph		Cladosporium	litter_saprotroph
jrk11067	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Liua	wood_saprotroph		#N/A	#N/A
jrk11069	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Discotubeufia	litter_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Acantharia	litter_saprotroph		#N/A	#N/A
	Ascomycota	Leotiomycetes	Leotiomycetes order incertae sedis	Leotiomycetes family incertae sedis	Clavidisculum	litter_saprotroph		Dioszegia	litter_saprotroph
jrk11121	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Heterotruncatella	plant_pathogen		Ophiosphaerella	plant_pathogen
jrk11128	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriales family incertae sedis	Neoleptosporella	wood_saprotroph		Hannaella	animal_parasite
jrk11133	Ascomycota	Sordariomycetes	Delonicicolales	Delonicicolaceae	Furfurella	wood_saprotroph		Neosetophoma	litter_saprotroph
jrk11134	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Capillaureum	plant_pathogen	wood_saprotroph	#N/A	#N/A
jrk11135	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Chrysomorbus	plant_pathogen	wood_saprotroph	Keissleriella	wood_saprotroph
	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Eriocamporesia	plant_pathogen	wood_saprotroph	Coniothyrium	plant_pathogen
jrk11140	Ascomycota	Sordariomycetes	Diaporthales	Neomelanconiellaceae	Neomelanconiella	plant_pathogen	litter_saprotroph	#N/A	#N/A
jrk11177	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiaceae	Neomyrmecridium	litter_saprotroph		Vishniacozyma	soil_saprotroph
jrk11178	Ascomycota	Sordariomycetes	Myrmecridiales	Xenodactylariaceae	Xenodactylaria	litter_saprotroph		#N/A	#N/A
jrk11185	Ascomycota	Sordariomycetes	Xenospadicoidales	Xenospadicoidaceae	Pseudodiplococcium	litter_saprotroph		Coniothyrium	plant_pathogen
	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Adustochaete	wood_saprotroph		#N/A	#N/A
	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Metulochaete	wood_saprotroph		Septoriella	litter_saprotroph
	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Proterochaete	wood_saprotroph		#N/A	#N/A
	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Psilochaete	wood_saprotroph		Epicoccum	plant_pathogen
	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales family incertae sedis	Pekloderma	wood_saprotroph	ericoid_mycorrhizal	#N/A	#N/A
jrk11219	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Geesterania	wood_saprotroph		Vishniacozyma	soil_saprotroph
jrk11000	Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Staurospora	lichenized		Papiliotrema	mycoparasite
jrk11001	Ascomycota	Arthoniomycetes	Arthoniales	Chrysotrichaceae	Galbinothrix	lichenized		#N/A	#N/A
jrk11002	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Amylogalla	lichen_parasite	fungal_decomposer	#N/A	#N/A
jrk11003	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Craspedodidymella	wood_saprotroph		Vishniacozyma	soil_saprotroph
jrk11004	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Crousobrauniella	plant_pathogen		Symmetrospora	epiphyte
jrk11005	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Hyalodermella			Neoascochyta	plant_pathogen
jrk11006	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Saania	lichen_parasite	fungal_decomposer	Tilletiopsis	plant_pathogen
jrk11007	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Vizellopsidites	plant_pathogen		Rhodotorula	unspecified_saprotroph
jrk11008	Ascomycota	Dothideomycetes	Asterinales	Asterinaceae	Asterostomella	plant_pathogen	foliar_endophyte	Symmetrospora	epiphyte
jrk11011	Ascomycota	Dothideomycetes	Botryosphaeriales	Planistromellaceae	Mycosphaerellopsis	litter_saprotroph		Stemphylium	plant_pathogen
jrk11012	Ascomycota	Dothideomycetes	Botryosphaeriales	Planistromellaceae	Planistroma	litter_saprotroph	wood_saprotroph	Vishniacozyma	soil_saprotroph
jrk11013	Ascomycota	Dothideomycetes	Capnodiales	Aeminiaceae	Aeminium	sooty_mold	litter_saprotroph	Dioszegia	litter_saprotroph
jrk11014	Ascomycota	Dothideomycetes	Capnodiales	Dissoconiaceae	Globoramichloridium			Fusarium	plant_pathogen
jrk11015	Ascomycota	Dothideomycetes	Capnodiales	Extremaceae	Paradevriesia			Fusarium	plant_pathogen
jrk11016	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ceratosperma			Saitozyma	soil_saprotroph
jrk11017	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Plurivorosphaerella	plant_pathogen		Cystofilobasidium	litter_saprotroph
jrk11018	Ascomycota	Dothideomycetes	Capnodiales	Phaeothecoidiellaceae	Nowamyces	plant_pathogen		Neosetophoma	litter_saprotroph
	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Lawreya	lichen_parasite	fungal_decomposer	Vishniacozyma	soil_saprotroph
jrk11019	Ascomycota	Dothideomycetes	Capnodiales	Xenodevriesiaceae	Xenodevriesia	plant_pathogen		Vishniacozyma	soil_saprotroph
jrk11020	Ascomycota	Dothideomycetes	Dothideales	Neocelosporiaceae	Neocelosporium			Cystobasidium	mycoparasite
	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Pseudoconlarium	wood_saprotroph		Ophiosphaerella	plant_pathogen
jrk11021	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Neoparodiaceae	Neoparodia	plant_pathogen		Vishniacozyma	soil_saprotroph
jrk11022	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Paranectriellaceae	Araneomyces	litter_saprotroph		Paraphoma	plant_pathogen
jrk11024	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Trichothyriaceae	Lichenopeltella	lichen_parasite	fungal_decomposer	Leptospora	litter_saprotroph
jrk11025	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Trichothyriaceae	Pachythyrium	mycoparasite	fungal_decomposer	Tricellula	litter_saprotroph
jrk11026	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Trichothyriaceae	Trichothyrium	unspecified_saprotroph	mycoparasite	#N/A	#N/A
jrk11027	Ascomycota	Dothideomycetes	Eremithallales	Melaspileaceae	Eremithallus	lichenized		Dioszegia	litter_saprotroph
	Ascomycota	Dothideomycetes	Jahnulales	Aliquandostipitaceae	Neojahnula	wood_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Jahnulales	Aliquandostipitaceae	Pseudojahnula	wood_saprotroph		Sporobolomyces	mycoparasite
jrk11029	Ascomycota	Dothideomycetes	Muyocopronales	Muyocopronaceae	Neomycoleptodiscus	litter_saprotroph		Hansfordia	unspecified_saprotroph
	Ascomycota	Dothideomycetes	Muyocopronales	Muyocopronaceae	Pseudopalawania	litter_saprotroph		Dioszegia	litter_saprotroph
	Ascomycota	Dothideomycetes	Muyocopronales	Muyocopronaceae	Setoapiospora	wood_saprotroph		#N/A	#N/A
jrk11030	Ascomycota	Dothideomycetes	Pleosporales	Aigialaceae	Posidoniomyces	root_endophyte		Vishniacozyma	soil_saprotroph
jrk11031	Ascomycota	Dothideomycetes	Pleosporales	Amorosiaceae	Alfoldia	root_endophyte		Microdochium	plant_pathogen
jrk11032	Ascomycota	Dothideomycetes	Pleosporales	Amorosiaceae	Amorocoelophoma	litter_saprotroph		Leptospora	litter_saprotroph
jrk11033	Ascomycota	Dothideomycetes	Pleosporales	Anteagloniaceae	Purplema			Setophoma	plant_pathogen
jrk11034	Ascomycota	Dothideomycetes	Pleosporales	Astrosphaeriellaceae	Quercicola	litter_saprotroph		Phaeosphaeria	litter_saprotroph
jrk11035	Ascomycota	Dothideomycetes	Pleosporales	Astrosphaeriellaceae	Xenoastrosphaeriella	unspecified_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Bambusicolaceae	Corylicola	wood_saprotroph		Phaeosphaeriopsis	plant_pathogen
jrk11036	Ascomycota	Dothideomycetes	Pleosporales	Bambusicolaceae	Leucaenicola	litter_saprotroph		#N/A	#N/A
jrk11037	Ascomycota	Dothideomycetes	Pleosporales	Corynesporascaceae	Corynesporasca	litter_saprotroph		#N/A	#N/A
jrk11038	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Synfenestella	plant_pathogen		Paraphoma	plant_pathogen
jrk11039	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Pseudoconiothyrium			Stagonosporopsis	plant_pathogen
jrk11040	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Sphaeronaema			Oomyces	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Vandijckomycella	soil_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Chromolaenicola	wood_saprotroph	litter_saprotroph	#N/A	#N/A
jrk11041	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Neptunomyces			Bulleribasidium	unspecified_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudodidymocyrtis	lichen_parasite	fungal_decomposer	Fusarium	plant_pathogen
	Ascomycota	Dothideomycetes	Pleosporales	Latoruaceae	Triseptata	wood_saprotroph		Zymoseptoria	plant_pathogen
	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Pseudomurilentithecium	litter_saprotroph		Taphrina	plant_pathogen
	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Ochraceocephala	plant_pathogen		Leptospora	litter_saprotroph
jrk11042	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Pseudoleptosphaeria	plant_pathogen	wood_saprotroph	Curvularia	plant_pathogen
	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Sclerenchymomyces	wood_saprotroph		Filobasidium	unspecified_saprotroph
jrk11043	Ascomycota	Dothideomycetes	Pleosporales	Ligninsphaeriaceae	Ligninsphaeriopsis			Rhodotorula	unspecified_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Longipedicellataceae	Submerspora	wood_saprotroph		Paraphoma	plant_pathogen
	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Kiskunsagia	root_endophyte		#N/A	#N/A
jrk11045	Ascomycota	Dothideomycetes	Pleosporales	Massariaceae	Paramassaria	wood_saprotroph		Neodevriesia	plant_pathogen
	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Neohelicascus	wood_saprotroph		Neosetophoma	litter_saprotroph
jrk11046	Ascomycota	Dothideomycetes	Pleosporales	Neohendersoniaceae	Neomedicopsis	wood_saprotroph		Papiliotrema	mycoparasite
	Ascomycota	Dothideomycetes	Pleosporales	Neomassarinaceae	Pseudohelminthosporium	wood_saprotroph		Herpotrichia	plant_pathogen
jrk11047	Ascomycota	Dothideomycetes	Pleosporales	Occultibambusaceae	Brunneofusispora	wood_saprotroph		#N/A	#N/A
jrk11048	Ascomycota	Dothideomycetes	Pleosporales	Parabambusicolaceae	Lonicericola	wood_saprotroph		Filobasidium	unspecified_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Parabambusicolaceae	Paramonodictys	wood_saprotroph		Dioszegia	litter_saprotroph
jrk11050	Ascomycota	Dothideomycetes	Pleosporales	Paralophiostomataceae	Paralophiostoma			Paraophiobolus	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Phaeoseptaceae	Pleopunctum	wood_saprotroph		Sporobolomyces	mycoparasite
jrk11051	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Amarenomyces	unspecified_saprotroph		Exidia	wood_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Bhagirathimyces	unspecified_saprotroph		Phaeosphaeria	litter_saprotroph
jrk11052	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Brunneomurispora	wood_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Hydeopsis	wood_saprotroph		#N/A	#N/A
jrk11054	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Jeremyomyces	wood_saprotroph		Papiliotrema	mycoparasite
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Kwanghwana	plant_pathogen	litter_saprotroph	Paraphoma	plant_pathogen
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Murichromolaenicola	wood_saprotroph		Phaeodactylium	plant_pathogen
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neoophiobolus	wood_saprotroph		Taphrina	plant_pathogen
jrk11055	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neostagonosporella	wood_saprotroph		Piniphoma	wood_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraleptospora	wood_saprotroph		Wojnowiciella	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraloratospora	wood_saprotroph		#N/A	#N/A
jrk11056	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeoseptoriella	plant_pathogen		Cladosporium	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Pseudoophiosphaerella	wood_saprotroph		Neosetophoma	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Pseudostaurosphaeria	wood_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Wingfieldomyces	litter_saprotroph	plant_pathogen	#N/A	#N/A
jrk11058	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Vittaliana	wood_saprotroph		Aureobasidium	sooty_mold
jrk11062	Ascomycota	Dothideomycetes	Pleosporales	Pseudoastrosphaeriellaceae	Pseudoastrosphaeriellopsis	wood_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Pseudomassarinaceae	Pseudomassarina	plant_pathogen	litter_saprotroph	Tausonia	soil_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Pyrenochaetopsidaceae	Xenopyrenochaetopsis	litter_saprotroph	plant_pathogen	#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Roussoellaceae	Pseudoroussoella	wood_saprotroph		Zymoseptoria	plant_pathogen
	Ascomycota	Dothideomycetes	Pleosporales	Roussoellaceae	Setoarthopyrenia	wood_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Roussoellaceae	Xenoroussoella	wood_saprotroph		Sarocladium	plant_pathogen
jrk11064	Ascomycota	Dothideomycetes	Pleosporales	Striatiguttulaceae	Longicorpus	unspecified_saprotroph		#N/A	#N/A
jrk11065	Ascomycota	Dothideomycetes	Pleosporales	Striatiguttulaceae	Striatiguttula	unspecified_saprotroph		Filobasidium	unspecified_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Sulcatisporaceae	Parasulcatispora	wood_saprotroph		#N/A	#N/A
jrk11066	Ascomycota	Dothideomycetes	Pleosporales	Testudinaceae	Halotestudina	wood_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Chromolaenomyces	wood_saprotroph		Neosetophoma	litter_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Pseudothyridariella	wood_saprotroph		Angustimassarina	mycoparasite
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Dichoporis	lichenized		Filobasidium	unspecified_saprotroph
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Phyllocharis	lichenized		Dioszegia	litter_saprotroph
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Phyllocraterina	lichenized		Sporobolomyces	mycoparasite
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Phylloporis	lichenized		Leucosporidium	soil_saprotroph
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Puiggariella	lichenized		Pyricularia	plant_pathogen
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Raciborskiella	lichenized		Paraphoma	plant_pathogen
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Racoplaca	lichenized		Plectosphaerella	plant_pathogen
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Serusiauxiella	lichenized		#N/A	#N/A
	Ascomycota	Dothideomycetes	Strigulales	Strigulaceae	Swinscowia	lichenized		#N/A	#N/A
jrk11068	Ascomycota	Dothideomycetes	Strigulales	Tenuitholiascaceae	Tenuitholiascus	lichenized		Tilletiopsis	plant_pathogen
	Ascomycota	Dothideomycetes	Trypetheliales	Trypetheliaceae	Pseudobogoriella	lichenized	wood_saprotroph	#N/A	#N/A
	Ascomycota	Dothideomycetes	Trypetheliales	Trypetheliaceae	Schummia	lichenized		Dioszegia	litter_saprotroph
	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Camporesiomyces	wood_saprotroph		#N/A	#N/A
jrk11070	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Kevinhydea	wood_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Bellamyces	wood_saprotroph		Mortierella	soil_saprotroph
	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Fuscohilum	wood_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Helicopsis	wood_saprotroph		Septoriella	litter_saprotroph
	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Neofusicladium	litter_saprotroph		Zymoseptoria	plant_pathogen
	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Parafusicladium	litter_saprotroph		Stagonosporopsis	plant_pathogen
	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Pinaceicola	litter_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Sterila	litter_saprotroph		Microdochium	plant_pathogen
	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Dimerosporiopsis	wood_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Fagicola	litter_saprotroph		Paradevriesia	0
	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Fraxinicola	litter_saprotroph	foliar_endophyte	Papiliotrema	mycoparasite
jrk11071	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales family incertae sedis	Laeviomyces	lichen_parasite	fungal_decomposer	#N/A	#N/A
jrk11072	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Ajellomyces	animal_parasite		Bipolaris	plant_pathogen
	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Emydomyces	animal_parasite	animal_decomposer	#N/A	#N/A
	Ascomycota	Eurotiomycetes	Sclerococcales	Dactylosporaceae	Pseudosclerococcum	wood_saprotroph		#N/A	#N/A
jrk11073	Ascomycota	Laboulbeniomycetes	Laboulbeniales	Laboulbeniaceae	Bordea	animal_parasite	animal_decomposer	Occultifur	mycoparasite
jrk11074	Ascomycota	Laboulbeniomycetes	Laboulbeniales	Laboulbeniaceae	Thaxterimyces	animal_parasite	animal_decomposer	Phaeosphaeria	litter_saprotroph
	Ascomycota	Lecanoromycetes	Caliciales	Caliciaceae	Burrowsia	lichenized		#N/A	#N/A
jrk11075	Ascomycota	Lecanoromycetes	Graphidales	Graphidaceae	Allographa	lichenized		Nigrospora	litter_saprotroph
jrk11076	Ascomycota	Lecanoromycetes	Graphidales	Graphidaceae	Cryptoschizotrema	lichenized		#N/A	#N/A
jrk11077	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Pulchrocladia	lichenized		#N/A	#N/A
jrk11078	Ascomycota	Lecanoromycetes	Lecanorales	Lecanorales family incertae sedis	Myochroidea	lichenized		#N/A	#N/A
jrk11079	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Neoprotoparmelia	lichenized		Paraphoma	plant_pathogen
	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Namibialina	lichenized		#N/A	#N/A
	Ascomycota	Lecanoromycetes	Ostropales	Graphidaceae	Jocatoa	lichenized		Leptospora	litter_saprotroph
jrk11080	Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae	Neofitzroyomyces	plant_pathogen		Alternaria	plant_pathogen
	Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae	Neostictis	wood_saprotroph		#N/A	#N/A
	Ascomycota	Lecanoromycetes	Peltigerales	Pannariaceae	Atrophysma	lichenized		#N/A	#N/A
jrk11081	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Dijigiella	lichenized		Galiicola	litter_saprotroph
jrk11082	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Hosseusiella	lichenized		Tilletiopsis	plant_pathogen
jrk11083	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Nevilleiella	lichenized		Neosetophoma	litter_saprotroph
jrk11084	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Rehmaniella	lichenized		Tilletia	plant_pathogen
jrk11085	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Teuvoahtiana	lichenized		#N/A	#N/A
jrk11086	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Upretia	lichenized		#N/A	#N/A
	Ascomycota	Lecanoromycetes	Thelocarpales	Thelocarpaceae	Carneothele	lichenized		Colletotrichum	plant_pathogen
jrk11087	Ascomycota	Lecanoromycetes	Turquoiseomycetales	Turquoiseomycetaceae	Turquoiseomyces	plant_pathogen		Blumeria	plant_pathogen
jrk11091	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Oidiopsis	plant_pathogen		Minimedusa	lichen_parasite
jrk11092	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Typhulochaeta	plant_pathogen		Phaeosphaeria	litter_saprotroph
jrk11093	Ascomycota	Leotiomycetes	Helotiales	Arachnopezizaceae	Arachnoscypha	unspecified_saprotroph		Fusarium	plant_pathogen
	Ascomycota	Leotiomycetes	Helotiales	Chrysodiscaceae	Chrysodisca	wood_saprotroph		Taphrina	plant_pathogen
jrk11088	Ascomycota	Leotiomycetes	Helotiales	Cordieritidaceae	Annabella	wood_saprotroph		Filobasidium	unspecified_saprotroph
	Ascomycota	Leotiomycetes	Helotiales	Cordieritidaceae	Lawreyella	lichen_parasite	fungal_decomposer	Neosetophoma	litter_saprotroph
jrk11089	Ascomycota	Leotiomycetes	Helotiales	Cordieritidaceae	Phaeangella	wood_saprotroph		#N/A	#N/A
jrk11102	Ascomycota	Leotiomycetes	Helotiales	Discinellaceae	Geocoryne	litter_saprotroph		Saitozyma	soil_saprotroph
jrk11095	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Chaetoscypha	litter_saprotroph		Neosetophoma	litter_saprotroph
jrk11096	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Eubelonis	wood_saprotroph		#N/A	#N/A
jrk11097	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Arboricolonus	plant_pathogen	wood_saprotroph	Neosetophoma	litter_saprotroph
jrk11094	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Asterocalyx	litter_saprotroph		Alternaria	plant_pathogen
jrk11090	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Brefeldochium	wood_saprotroph		Septoriella	litter_saprotroph
	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Kukwaea	lichen_parasite	fungal_decomposer	Phaeosphaeria	litter_saprotroph
jrk11105	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Pachydisca	litter_saprotroph		Alternaria	plant_pathogen
jrk11106	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Patinellaria	litter_saprotroph		Pyricularia	plant_pathogen
jrk11107	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Phragmonaevia			Neoascochyta	plant_pathogen
jrk11098	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gamarada	root_endophyte	soil_saprotroph	Dissoconium	litter_saprotroph
jrk11104	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Scolecolachnum	plant_pathogen		Ascochyta	plant_pathogen
jrk11099	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Tubolachnum	litter_saprotroph		Chaetosphaeronema	plant_pathogen
