"","Sample0918","Sample0921","Sample0916","Sample0849","Sample0915","Sample0923","Sample0843","Sample0884","Sample0919","Sample0882","Sample0852","Sample0920","Sample0883","Sample0878","Sample0851","Sample0844","Sample0879","Sample0888","Sample0887","Sample0841","Sample0885","Sample0877","Sample0917","Sample0881","Sample0848","Sample0850","Sample0913","Sample0925","Sample0886","Sample0880","Sample0847","Sample0846","Sample0914","Sample0922","Sample0845","Sample0842","Sample0405","Sample0394","Sample0446","Sample0444","Sample0401","Sample0438","Sample0399","Sample0357","Sample0400","Sample0360","Sample0398","Sample0439","Sample0402","Sample0449","Sample0440","Sample0364","Sample0441","Sample0445","Sample0397","Sample0395","Sample0359","Sample0358","Sample0447","Sample0356","Sample0450","Sample0442","Sample0362","Sample0443","Sample0361","Sample0396","Sample0363","Sample0404","Sample0365","Sample0367","Sample0366","Sample0403"
"OTU_85",0,57,1,0,0,0,3,1,2,232,5,162,0,110,2,0,0,0,392,0,54,593,223,0,0,0,0,147,3,0,33,127,0,0,21,0,22,11,0,0,21,0,4,3,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,2,7,0,0,0,0,2,0,2,22,4,0,0
"OTU_18",522,6377,2612,1962,768,977,675,1208,0,27,3183,2524,2700,834,887,2467,158,414,203,26,319,80,122,339,153,0,63,1626,265,648,143,0,1,0,35,22,838,1302,14,1152,1608,349,306,75,36,265,29,359,154,134,353,361,172,838,270,360,336,354,154,58,351,298,109,187,32,152,43,61,9,174,39,7
"OTU_2407",9,0,2,15,22,0,0,2,28,0,1,0,9,0,4,5,18,0,7,3,0,2,1,2,0,10,11,0,1,0,0,4,0,0,1,0,3,3,1,1,12,1,0,0,1,0,0,2,0,2,3,0,3,3,0,3,0,0,2,0,1,3,0,0,0,1,0,0,0,0,0,1
"OTU_133",49,173,0,55,11,1,0,4,0,0,20,0,0,28,0,2,0,0,256,809,0,401,0,114,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,2,0,0,0,1,0,0,0,3,0,1,0,0,2,0,2,9,0,3,3,0,0,0,0,0,0,0,8,12,16,0
"OTU_95",0,0,115,0,16,18,0,169,0,0,81,0,10,0,38,197,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,418,4,2,0,5,2,4,1,7,8,2,4,9,4,20,1,1,23,10,2,3,5,0,20,2,1,0,5,3,1,11,1,3
"OTU_65",0,729,20,1297,491,46,83,376,0,0,88,913,12,507,25,60,0,0,243,0,0,0,0,1,0,0,0,146,0,0,0,0,0,306,0,1,72,59,6,3,9,9,2,3,2,1,1,4,27,33,10,2,5,7,23,4,6,10,13,8,10,5,0,3,0,2,0,0,9,0,3,0
"OTU_4096",0,87,424,246,300,74,196,559,0,0,1040,145,209,0,47,1206,0,0,0,0,0,0,1,36,0,93,0,620,0,0,45,0,0,30,0,0,14,16,2,93,5,2,8,12,0,4,0,43,0,22,9,8,10,114,5,14,5,19,10,2,6,18,4,2,0,33,5,2,5,2,5,2
"OTU_15",1,0,1268,19,1068,1649,664,189,0,19,403,1378,940,55,510,996,0,0,0,22,0,0,0,0,71,157,438,549,0,0,0,0,33,0,0,0,20,5,17,12,10,2,14,0,0,0,295,14,7,2,10,6,26,49,1,8,5,5,27,0,6,24,3,14,0,0,4,0,0,0,0,0
"OTU_45",0,1794,93,366,24,159,67,11,0,0,220,470,24,0,11,48,0,94,0,130,0,254,92,0,0,0,705,482,0,0,0,0,0,0,1,0,47,43,1,0,124,2,3,6,3,70,9,10,0,5,2,2,8,29,44,27,28,25,8,0,5,10,3,9,1,24,4,5,2,13,4,6
"OTU_48",2,0,138,0,130,5,10,147,0,0,79,107,97,0,238,142,0,0,0,0,0,0,0,60,0,0,1,0,2,0,0,0,0,0,0,0,44,7,18,129,40,9,4,1,2,2,5,74,6,171,27,3,11,296,1,6,15,7,37,0,45,29,0,11,1,6,0,4,1,3,0,0
"OTU_3259",187,6,86,425,525,7,0,61,555,8,45,98,241,4,152,211,325,0,202,153,5,47,36,8,0,119,131,3,77,3,1,68,1,0,16,3,36,100,14,25,171,18,3,13,10,1,4,25,22,13,28,1,22,50,2,21,0,2,25,3,31,42,0,8,0,1,2,2,1,0,0,1
"OTU_176",0,0,40,1538,28,59,0,273,0,0,46,0,2,0,0,164,0,0,0,566,0,0,0,366,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,0,1,0,8,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0
"OTU_59",0,0,193,0,33,106,0,0,0,0,35,0,97,0,30,5,2521,0,205,0,0,289,0,0,0,0,0,86,0,0,0,0,0,0,0,0,9,30,1,1,1,0,0,0,0,2,0,27,2,3,0,0,2,11,0,0,0,3,0,0,6,3,27,0,1,0,0,0,0,1,0,0
"OTU_4607",0,1,18,0,16,3,1,22,0,0,26,0,43,0,21,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,12,1,0,0,0,0,0,3,0,2,5,1,3,44,0,3,1,2,2,0,12,7,2,1,0,0,0,0,0,2,0,0
"OTU_6277",0,3,0,0,1,1,2,0,0,0,0,0,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_104",96,0,9,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,74,173,0,0,0,0,0,0,0,0,116,0,10,0,0,0,0,16,1,0,1,0,0,1,0,0,0,0,0,1,0,2,1,6,0,2,0,0,3,0,7,0,0,3,0,0,0,0,0,0
"OTU_89",0,0,1,0,13,132,2,82,0,0,32,0,5,0,43,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,207,0,251,288,26,4,10,11,5,2,16,5,9,3,25,1,78,9,9,28,10,9,13,18,7,9,4,1,10,8,7,1,5,3,0
"OTU_223",0,0,0,0,0,49,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4383",0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,5,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"OTU_55",0,0,1832,798,7334,42,1,144,0,0,105,284,72,630,27,86,587,0,0,189,0,0,0,163,0,0,0,0,0,135,71,0,0,0,0,0,44,10,1,0,6,0,4,0,1,0,1,0,1,7,0,0,1,9,3,0,1,3,3,3,0,0,0,0,0,0,0,2,0,4,6,0
"OTU_389",0,0,16,0,0,0,0,0,0,0,7,0,0,0,0,18,113,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,2,0,0,0,1,4,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"OTU_35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,707,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"OTU_54",106,0,62,36,477,258,570,0,0,0,463,1622,98,43,230,91,0,0,288,248,192,0,0,1,0,0,0,1,0,0,1,0,0,950,0,0,35,17,1,14,43,0,3,6,0,0,0,11,1,0,24,17,0,6,1,0,2,5,49,0,4,9,7,4,0,1,3,0,0,6,4,0
"OTU_401",0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,353,0,204,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,8,8,0,0
"OTU_164",0,139,38,0,23,34,12,3,0,86,46,308,2,1,7,21,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,6,6,6,16,9,5,13,2,0,11,0,1,13,23,1,0,15,10,13,16,14,6,8,4,9,8,1,0,5,3,10,21,14,11,0
"OTU_120",0,356,262,432,0,8,47,0,382,0,4,933,5,0,3,33,0,0,318,1,0,0,0,1115,0,0,0,0,0,67,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,3,0,0,0,18,0,0,0,0
"OTU_673",0,0,30,0,49,0,1,12,0,0,4,0,28,0,9,23,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,6,5,2,3,5,0,0,0,0,0,0,4,1,1,0,8,3,1,2,2,0,2,0,8,6,0,0,0,0,0,0,0,0,0,0
"OTU_510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"OTU_130",143,0,40,0,33,7,14,10,206,0,29,451,6,0,17,10,459,1,0,104,0,231,18,0,0,99,0,115,1,0,0,0,0,0,0,0,5,0,1,1,0,1,0,5,1,1,1,0,0,3,2,0,0,0,2,1,1,1,0,5,0,0,3,0,0,2,0,0,6,6,3,0
"OTU_464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_174",0,0,13,0,32,0,0,0,0,0,0,688,0,472,1,7,844,0,276,0,0,733,85,0,0,0,0,0,0,0,0,0,75,0,5,0,6,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_75",405,575,13,567,0,12,0,46,0,464,27,0,0,459,0,27,145,0,0,149,0,0,0,0,0,1,0,416,0,0,0,0,0,0,0,0,237,34,2,36,188,33,34,42,12,20,80,73,4,50,51,15,7,27,80,52,52,102,49,40,49,49,24,49,1,28,3,39,65,67,32,1
"OTU_11",269,0,7,232,22,155,99,2,0,124,40,289,8,0,16,2,442,76,274,0,564,122,0,0,341,1,274,0,0,108,1,78,35,16,15,132,85,129,10,19,384,26,31,0,4,0,1,19,10,7,26,10,11,11,21,1,3,6,23,0,21,16,15,27,5,0,0,31,0,0,0,2
"OTU_1",0,0,17,0,0,4,13,2,1,0,0,116,4,0,0,172,0,0,0,0,0,96,303,39,1,10,21,79,0,0,0,0,0,221,0,3,200,859,235,39,854,106,15,12,9,3,8,140,220,196,117,3,179,110,1125,210,2,46,72,1,190,122,11,26,234,15,38,502,2,4,18,8
"OTU_189",0,1,0,0,0,2,0,0,0,919,0,0,0,0,0,5,245,0,159,0,0,82,91,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"OTU_199",0,0,0,309,0,0,0,0,0,0,2,0,0,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,0,0,0,0,2,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_19",101,291,2041,1644,251,178,197,1751,0,0,1621,418,848,4,288,2273,54,0,87,1,0,94,0,545,38,2,51,1113,0,0,68,0,0,0,0,0,192,53,28,477,50,35,44,48,0,25,31,113,1002,113,48,29,46,494,40,55,52,71,96,14,121,50,37,57,0,60,23,20,2,43,10,4
"OTU_239",0,66,0,0,18,1,0,0,0,0,1,197,1,0,0,0,0,19,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,6,41,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0
"OTU_203",0,0,0,333,0,0,0,0,0,0,1,0,0,3380,20,0,410,0,0,1,0,310,0,0,0,0,0,0,0,117,0,172,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,6,1,0,0
"OTU_924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_115",0,0,88,33,42,19,0,142,0,0,49,183,9,143,79,176,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2,0,2,0,0,0,3,0,3,0,4,0,9,2,0,5,8,3,3,2,0,3,1,0,1,0,0,1,3,0,0
"OTU_258",0,1,0,0,0,0,0,0,0,0,9,404,0,413,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,141,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,3,0
"OTU_454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_128",0,0,301,0,63,108,276,227,0,0,48,42,62,0,163,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,8,1,1,0,0,0,2,1,11,3,8,0,63,2,2,2,11,7,0,48,14,3,12,0,7,1,0,0,0,0,0
"OTU_82",150,75,40,32,10,145,56,123,93,0,334,532,0,403,22,187,0,0,80,0,0,0,0,32,0,0,87,1175,32,0,81,0,0,0,1,0,107,9,0,14,2,4,4,6,0,41,0,5,12,8,5,6,7,73,1,17,38,111,23,32,14,14,113,6,3,11,4,2,6,14,6,2
"OTU_52",0,0,171,0,124,4,31,150,0,0,32,0,2,0,10,48,0,186,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,3,48,0,2,1,0,0,0,0,5,1,34,3,5,13,99,0,0,0,0,0,0,0,5,0,30,0,0,0,0,0,0,2,0
"OTU_482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"OTU_7",7,49,14,0,15,30,0,0,42,0,54,0,124,0,38,49,0,0,0,0,0,0,0,1357,0,0,0,0,42,0,0,0,0,0,0,0,8,0,37,18,1,17,0,1,0,4,0,19,0,5,28,0,25,7,1,0,0,28,20,0,33,19,1,7,1,12,0,7,1,0,2,0
"OTU_169",0,255,34,193,3,6,0,2,0,0,0,407,5,0,0,8,0,0,0,147,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,5,6,0,1,0,1,1,1,3,2,0,0,0,0,0,0,0,0,3,1,3,0,1,2,6,3,0,0,3,0,1,0,3,1,0
"OTU_826",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_403",0,0,1,0,0,0,0,6,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0
"OTU_14",198,35,0,658,17,457,28,0,0,248,39,0,0,235,23,0,789,0,1295,144,0,45,67,232,0,0,442,33,0,0,117,0,57,287,3,0,12,301,0,9,254,5,0,0,21,0,1,108,131,4,3,2,3,0,1264,204,3,35,4,16,17,2,12,6,1,0,1,1,1,6,0,0
"OTU_256",3,455,0,1,146,0,0,132,88,0,2,50,0,396,41,0,0,0,0,0,0,0,0,0,0,0,0,175,0,358,0,0,0,0,0,0,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,1,0,0,0,1,0,0,0,0
"OTU_173",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_131",40,155,311,0,568,364,563,2025,0,0,588,0,444,0,1042,478,0,40,0,0,0,242,0,0,0,0,8,416,0,0,0,0,0,0,0,0,4,15,5,185,6,21,4,4,0,4,0,58,4,88,32,6,21,245,2,2,2,14,59,0,57,24,2,45,0,10,0,0,0,0,0,1
"OTU_373",0,0,6,0,0,0,0,57,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,32,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_5156",0,0,0,0,0,5,0,44,0,0,32,0,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,13,0,37,8,1,1,6,0,10,0,9,1,3,24,7,5,21,20,40,11,12,2,1,16,8,2,3,0,1,4,0,1,6,0,0
"OTU_195",0,0,10,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,5,6,0,6,0,0,1,1,6,9,2,0,2,0,40,5,8,0,0,0,0,7,4,6,0,0,1,0,2,0,0,0,0
"OTU_262",0,0,40,0,9,0,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,3,0,0,0,0,0,2,2,2,7,1,5,17,0,1,0,1,1,1,6,1,1,5,0,1,0,0,0,2,0,0
