OTU,Genus,PRIMARY TROPHIC GUILD
OTU_5496,Gnomoniopsis,foliar_endophyte
OTU_6127,#N/A,#N/A
OTU_3800,Stagonospora,plant_pathogen
OTU_5207,Elsinoe,plant_pathogen
OTU_4558,Entyloma,plant_pathogen
OTU_4628,Diaporthe,plant_pathogen
OTU_6329,#N/A,#N/A
OTU_4831,Yunzhangia,unspecified
OTU_5385,#N/A,#N/A
OTU_4470,Entomortierella,#N/A
OTU_7192,#N/A,#N/A
OTU_5139,Curvibasidium,wood_saprotroph
OTU_3951,#N/A,#N/A
OTU_6168,#N/A,#N/A
OTU_4521,Chaetomium,litter_saprotroph
OTU_7785,#N/A,#N/A
