OTU,Genus,PRIMARY TROPHIC GUILD
OTU_1176,#N/A,#N/A
OTU_1703,Leptodiscella,litter_saprotroph
OTU_7212,Acaulospora,arbuscular_mycorrhizal
OTU_5428,Phaeosphaeria,litter_saprotroph
OTU_3887,Meyerozyma,epiphyte
OTU_3965,Purpureocillium,animal_parasite
OTU_7297,Aspergillus,unspecified_saprotroph
OTU_2691,#N/A,#N/A
OTU_2382,#N/A,#N/A
OTU_2618,#N/A,#N/A
OTU_1835,#N/A,#N/A
OTU_1920,#N/A,#N/A
OTU_1500,#N/A,#N/A
OTU_4931,#N/A,#N/A
OTU_1524,#N/A,#N/A
OTU_5424,#N/A,#N/A
OTU_7433,Paraphoma,plant_pathogen
OTU_6810,#N/A,#N/A
OTU_4484,#N/A,#N/A
OTU_3385,Verticimonosporium,litter_saprotroph
OTU_5083,Phallus,soil_saprotroph
OTU_2325,Claroideoglomus,arbuscular_mycorrhizal
OTU_4053,#N/A,#N/A
OTU_4258,#N/A,#N/A
OTU_6637,#N/A,#N/A
OTU_6678,#N/A,#N/A
OTU_6884,Geastrum,litter_saprotroph
OTU_6942,Apodus,dung_saprotroph
OTU_1537,Paraglomus,arbuscular_mycorrhizal
OTU_871,Chloridium,litter_saprotroph
OTU_1135,#N/A,#N/A
OTU_2852,Funneliformis,arbuscular_mycorrhizal
OTU_2058,#N/A,#N/A
OTU_7226,Paraglomus,arbuscular_mycorrhizal
OTU_4360,#N/A,#N/A
OTU_5256,#N/A,#N/A
OTU_1381,#N/A,#N/A
OTU_2626,#N/A,#N/A
OTU_2286,Serendipita,root_endophyte
OTU_1923,#N/A,#N/A
OTU_2694,#N/A,#N/A
OTU_1977,Lecythophora,unspecified_saprotroph
OTU_2405,Claroideoglomus,arbuscular_mycorrhizal
OTU_5171,#N/A,#N/A
OTU_7012,Kappamyces,pollen_saprotroph
OTU_4817,#N/A,#N/A
OTU_1532,Coniochaeta,unspecified_saprotroph
OTU_4806,Paraphoma,plant_pathogen
OTU_3266,#N/A,#N/A
OTU_1325,#N/A,#N/A
OTU_4031,Dominikia,arbuscular_mycorrhizal
OTU_1153,#N/A,#N/A
OTU_1440,Septoglomus,arbuscular_mycorrhizal
OTU_3424,#N/A,#N/A
OTU_6523,#N/A,#N/A
OTU_2253,#N/A,#N/A
OTU_2190,Claroideoglomus,arbuscular_mycorrhizal
OTU_1348,#N/A,#N/A
OTU_911,#N/A,#N/A
OTU_1075,#N/A,#N/A
OTU_1818,Allomyces,soil_saprotroph
OTU_5085,Populomyces,#N/A
OTU_4834,#N/A,#N/A
OTU_3383,#N/A,#N/A
OTU_2041,Operculomyces,pollen_saprotroph
OTU_3072,Claroideoglomus,arbuscular_mycorrhizal
OTU_5547,#N/A,#N/A
OTU_3619,Ceratobasidium,plant_pathogen
OTU_5456,Fusarium,plant_pathogen
OTU_2208,#N/A,#N/A
OTU_7630,#N/A,#N/A
OTU_5707,#N/A,#N/A
OTU_5363,Metschnikowia,nectar/tap_saprotroph
OTU_2120,#N/A,#N/A
OTU_3502,Metapochonia,animal_parasite
OTU_3592,#N/A,#N/A
OTU_1897,#N/A,#N/A
OTU_1608,Schizothecium,dung_saprotroph
OTU_4448,Claroideoglomus,arbuscular_mycorrhizal
OTU_2747,#N/A,#N/A
OTU_2133,Septoglomus,arbuscular_mycorrhizal
OTU_4958,#N/A,#N/A
OTU_2523,#N/A,#N/A
OTU_2683,#N/A,#N/A
OTU_3384,Phoma,plant_pathogen
OTU_3772,#N/A,#N/A
OTU_2250,#N/A,#N/A
OTU_6191,Xylodon,wood_saprotroph
OTU_5043,#N/A,#N/A
OTU_4869,#N/A,#N/A
OTU_1759,Mortierella,soil_saprotroph
OTU_4476,Paraglomus,arbuscular_mycorrhizal
OTU_1878,#N/A,#N/A
OTU_3300,#N/A,#N/A
OTU_5068,Fusarium,plant_pathogen
OTU_3128,Ambispora,arbuscular_mycorrhizal
OTU_4710,Acremonium,unspecified_saprotroph
OTU_7444,#N/A,#N/A
OTU_2425,#N/A,#N/A
OTU_2011,Mortierella,soil_saprotroph
OTU_4472,#N/A,#N/A
OTU_1607,#N/A,#N/A
OTU_3137,#N/A,#N/A
OTU_1109,#N/A,#N/A
OTU_2702,#N/A,#N/A
OTU_1790,Glomus,arbuscular_mycorrhizal
OTU_2251,#N/A,#N/A
OTU_2017,Chaetosphaeria,litter_saprotroph
OTU_4762,Helicogloea,wood_saprotroph
OTU_6735,#N/A,#N/A
OTU_4761,Glomus,arbuscular_mycorrhizal
OTU_2379,#N/A,#N/A
OTU_1628,#N/A,#N/A
OTU_6519,Rhizochaete,wood_saprotroph
OTU_4280,Serendipita,root_endophyte
OTU_7565,#N/A,#N/A
OTU_4121,#N/A,#N/A
OTU_636,Westerdykella,dung_saprotroph
OTU_3382,#N/A,#N/A
OTU_4772,#N/A,#N/A
OTU_3171,Betamyces,pollen_saprotroph
OTU_3078,Cladophialophora,soil_saprotroph
OTU_1469,Talaromyces,unspecified_saprotroph
OTU_1626,Endophragmiella,wood_saprotroph
OTU_2732,#N/A,#N/A
OTU_2001,Amaurodon,litter_saprotroph
OTU_1840,Allomyces,soil_saprotroph
OTU_2628,Gigaspora,arbuscular_mycorrhizal
OTU_5538,#N/A,#N/A
OTU_4483,Gigaspora,arbuscular_mycorrhizal
OTU_951,#N/A,#N/A
OTU_5284,Gigaspora,arbuscular_mycorrhizal
OTU_2895,#N/A,#N/A
OTU_4004,#N/A,#N/A
OTU_5721,Gigaspora,arbuscular_mycorrhizal
OTU_6794,#N/A,#N/A
OTU_4054,Leucoagaricus,soil_saprotroph
OTU_4544,#N/A,#N/A
OTU_1726,Glomus,arbuscular_mycorrhizal
OTU_3851,#N/A,#N/A
OTU_3542,#N/A,#N/A
OTU_7691,#N/A,#N/A
OTU_7577,Tomentella,ectomycorrhizal
OTU_5065,#N/A,#N/A
OTU_818,#N/A,#N/A
OTU_1148,Scutellinia,wood_saprotroph
OTU_6549,Fusarium,plant_pathogen
OTU_5618,Cryptosphaeria,plant_pathogen
OTU_6545,Podospora,dung_saprotroph
OTU_4701,#N/A,#N/A
OTU_7545,#N/A,#N/A
OTU_4715,Leucosporidium,soil_saprotroph
OTU_1684,#N/A,#N/A
OTU_1685,#N/A,#N/A
OTU_869,Scutellinia,wood_saprotroph
OTU_2226,#N/A,#N/A
OTU_1679,#N/A,#N/A
OTU_2139,Trechispora,wood_saprotroph
OTU_4920,Scutellospora,arbuscular_mycorrhizal
OTU_1654,#N/A,#N/A
OTU_2266,Pervetustus,arbuscular_mycorrhizal
OTU_7173,#N/A,#N/A
OTU_1804,Talaromyces,unspecified_saprotroph
OTU_7122,Septoglomus,arbuscular_mycorrhizal
OTU_1834,Diversispora,arbuscular_mycorrhizal
OTU_1071,#N/A,#N/A
OTU_4530,Aspergillus,unspecified_saprotroph
OTU_4922,#N/A,#N/A
OTU_4174,#N/A,#N/A
OTU_5303,#N/A,#N/A
OTU_3132,#N/A,#N/A
OTU_7424,#N/A,#N/A
OTU_5439,Mortierella,soil_saprotroph
OTU_1815,#N/A,#N/A
OTU_1124,Ambispora,arbuscular_mycorrhizal
OTU_3731,Paraglomus,arbuscular_mycorrhizal
OTU_1229,#N/A,#N/A
OTU_4751,Septoglomus,arbuscular_mycorrhizal
OTU_4043,#N/A,#N/A
OTU_5062,#N/A,#N/A
OTU_5830,#N/A,#N/A
OTU_2289,Acaulium,animal_parasite
OTU_5234,#N/A,#N/A
OTU_4030,Sclerencoelia,wood_saprotroph
OTU_5006,#N/A,#N/A
OTU_4316,Betamyces,pollen_saprotroph
OTU_5688,Myrothecium,litter_saprotroph
OTU_1852,#N/A,#N/A
OTU_4760,Polynema,litter_saprotroph
